# Last update	2015-03-20 Fri 01:13:30
# Herm count	56
# Male count	15
# Status	Not Inspected
# pX	pY	width	height	nHerm	nMale	length (um)	fatness	e1	e2	maskImageIDNumb	unknown
4181	860	299	260	0	0	2947.9523	0.000000	0.000000	0.000000	6	true
2748	1269	30	167	1	0	1164.8993	12.565476	0.455321	0.605783	13	false
3643	1428	41	134	1	0	990.5656	12.213235	0.428571	0.463547	14	false
2878	1593	58	167	1	0	1218.8190	14.518072	0.456070	0.515805	17	false
3370	1608	87	68	0	1	951.2914	9.943089	0.554700	0.840771	19	false
2914	1663	147	211	0	0	0.0000	0.000000	0.000000	0.000000	20	true
3021	1729	186	82	0	0	0.0000	0.000000	0.000000	0.000000	23	true
2946	1759	39	119	0	1	908.6223	6.991803	0.185695	0.656532	24	false
2976	1775	61	103	0	1	828.3695	8.310680	0.857493	1.118034	25	false
2813	1814	53	187	0	0	0.0000	0.000000	0.000000	0.000000	26	true
3042	1798	230	151	0	0	0.0000	0.000000	0.000000	0.000000	27	true
2685	1860	68	175	1	0	1326.7826	16.118644	0.328798	0.565962	28	false
3279	1961	113	106	0	1	1048.9478	8.658537	0.364216	0.948683	31	false
2824	1965	106	127	1	0	1010.0175	16.621849	0.565685	0.898274	32	false
3279	1971	115	116	1	0	1113.5033	12.674242	0.392232	0.625000	34	false
3075	1851	239	362	0	0	0.0000	0.000000	0.000000	0.000000	35	true
2749	2019	86	164	1	0	1285.9540	19.890909	0.462250	0.543267	36	false
3236	2052	96	165	1	0	1323.3364	14.855422	0.237023	0.533494	37	false
3185	2062	48	160	1	0	1143.2008	12.569620	0.620174	0.626099	38	false
2828	2070	155	35	1	0	1089.2523	11.908497	0.641179	0.671729	39	false
2839	2155	121	34	0	1	937.4152	9.373984	0.765641	1.000000	40	false
2834	2177	127	129	1	0	1298.5166	22.993789	0.310087	0.509902	41	false
3427	2276	118	60	0	1	994.5915	11.888000	0.485071	0.928477	42	false
2208	2282	157	98	1	0	1299.9302	15.103030	0.449719	0.548530	43	false
2400	2230	157	148	0	0	0.0000	0.000000	0.000000	0.000000	44	true
2753	2282	161	162	0	0	0.0000	0.000000	0.000000	0.000000	45	true
3590	2304	87	187	1	0	1413.2364	25.404255	0.428571	0.546781	47	false
2258	2425	191	105	0	0	0.0000	0.000000	0.000000	0.000000	48	true
3906	2419	136	89	1	0	1126.1684	14.963504	0.428746	0.497859	49	false
3365	2424	86	137	0	1	1121.4027	8.278571	0.739709	0.928477	52	false
1804	2495	79	165	1	0	1287.4719	16.289941	0.581238	0.637377	53	false
3054	2509	33	169	1	0	1172.4184	15.615385	0.463547	0.656532	54	false
3469	2476	35	160	0	1	1101.2027	7.721519	0.511408	0.542326	55	false
3204	2584	167	101	1	0	1381.5740	15.439306	0.438529	0.651920	58	false
4018	2588	54	163	1	0	1233.3334	13.727811	0.509902	0.527046	59	false
3423	2630	153	81	1	0	1190.9162	9.728477	0.149071	0.632456	61	false
3403	2639	174	88	0	0	0.0000	0.000000	0.000000	0.000000	62	true
4063	2649	93	173	1	0	1368.9806	16.137931	0.428746	0.456070	63	false
3760	2714	73	179	0	0	0.0000	0.000000	0.000000	0.000000	65	true
1344	2754	75	173	1	0	1323.3309	15.063584	0.529926	0.550707	66	false
1487	2940	156	103	1	0	1354.5034	15.367816	0.544059	0.566352	68	false
2048	2966	200	161	0	0	0.0000	0.000000	0.000000	0.000000	70	true
4270	2967	108	47	0	0	841.3677	11.560345	0.552158	0.714286	71	true
1658	2944	143	59	1	0	1154.7250	13.959732	0.418638	0.565962	72	false
3466	2999	61	171	1	0	1272.0958	12.703488	0.488397	0.570826	73	false
3318	3016	166	92	0	0	0.0000	0.000000	0.000000	0.000000	74	true
1695	3043	186	57	1	0	1361.3868	14.358289	0.400000	0.567646	75	false
1406	3073	38	183	1	0	1034.8214	23.986755	0.780869	0.914566	76	false
1063	3091	44	109	0	0	920.0445	10.818182	0.460179	0.848528	77	true
5069	3098	99	71	0	0	877.2802	10.500000	0.583095	0.874475	78	true
3537	3103	53	100	0	1	919.5234	9.713043	0.572598	1.118034	79	false
1250	3135	81	70	0	0	799.6147	9.685185	0.537484	0.673146	80	true
1323	3256	140	62	1	0	1077.7268	10.218310	0.587220	0.589015	82	false
1331	3251	123	30	0	0	862.6268	6.658333	0.000000	0.637377	83	true
1591	3278	109	125	1	0	1134.6263	14.917293	0.485643	0.571429	84	false
1805	3296	77	168	1	0	1304.7518	15.213873	0.488397	0.565962	85	false
4134	3321	189	48	1	0	1359.9205	14.291005	0.488397	0.600000	87	false
1351	3381	65	120	0	1	991.7868	10.293233	0.511408	0.870524	88	false
1699	3462	59	170	1	0	1240.4095	18.170588	0.263416	0.397643	90	false
2444	3494	73	167	0	0	0.0000	0.000000	0.000000	0.000000	91	true
2475	3497	120	173	0	0	0.0000	0.000000	0.000000	0.000000	92	true
1203	3520	47	107	0	0	929.0599	11.358974	0.666667	0.860233	93	true
3830	3560	147	36	1	0	1078.7754	11.842466	0.674949	0.682461	94	false
3379	3554	155	108	1	0	1083.4249	17.432836	0.620174	1.234662	95	false
3979	3586	144	110	1	0	1283.7815	15.627329	0.636364	0.704078	96	false
1749	3610	151	78	1	0	1295.0067	15.095808	0.460977	0.511408	97	false
3859	3613	133	112	1	0	1189.0652	16.278912	0.462250	0.515388	98	false
3444	3634	40	163	1	0	1149.8610	13.090361	0.463547	0.721110	99	false
1511	3644	119	147	1	0	1289.0901	16.666667	0.461774	0.532152	101	false
2155	3756	128	97	1	0	1134.2113	14.335714	0.537484	0.589015	102	false
4879	3682	120	124	1	0	1274.2659	14.884146	0.357771	0.447214	103	false
1636	3774	132	129	1	0	1273.6660	16.926174	0.532152	0.565685	104	false
2613	3857	48	145	1	0	1060.8144	12.790541	0.505076	0.588348	107	false
4039	3865	88	176	1	0	1372.9589	15.931818	0.589015	0.633750	108	false
4344	3939	83	76	0	1	982.0052	10.519380	0.587220	1.025536	111	false
3884	4029	29	190	1	0	1268.1252	18.264550	0.313230	0.470588	112	false
3333	4038	76	152	0	1	1174.6740	9.424837	0.171499	1.000000	113	false
3343	4041	81	148	1	0	1154.7985	8.847222	0.415227	0.542326	114	false
3001	3998	132	127	1	0	1226.9170	17.602837	0.565962	0.571429	115	false
3210	4103	143	31	0	0	999.9514	7.957143	0.125000	0.342997	116	true
3240	4116	121	59	0	1	928.2646	7.462185	0.293610	1.118034	117	false
3220	4119	162	71	0	1	1219.0054	6.968153	0.447214	2.236068	118	false
2059	4126	136	119	1	0	1278.2525	15.437500	0.511408	0.666667	119	false
4328	4130	124	39	0	0	929.5910	11.447154	0.460977	0.702247	121	true
2467	4173	182	145	0	0	0.0000	0.000000	0.000000	0.000000	122	true
1692	4178	197	39	1	0	1238.4367	22.062147	0.454545	0.791149	123	false
2182	4240	135	38	0	0	984.0271	8.845588	0.495261	0.637377	124	true
1771	4254	187	48	1	0	1369.4326	18.058511	0.447214	0.566352	125	false
3480	4418	155	114	0	0	0.0000	0.000000	0.000000	0.000000	129	true
1998	4422	97	155	1	0	1262.2110	14.288344	0.428353	0.583095	130	false
2511	4521	113	133	1	0	1224.8913	21.315436	0.328798	0.516162	131	false
1855	4538	91	65	0	0	906.1120	8.862903	0.541390	0.728431	132	true
1659	4591	59	154	1	0	1140.1922	12.993421	0.602080	0.675863	134	false
2538	4648	50	151	1	0	1095.4014	12.413333	0.403113	0.641179	135	false
2210	4712	162	58	1	0	1237.2230	15.196429	0.410264	0.454545	136	false
3425	4677	164	59	1	0	1246.8730	13.554878	0.392232	0.441942	137	false
2820	4823	194	29	0	0	0.0000	0.000000	0.000000	0.000000	139	true
3042	4858	40	122	0	1	939.8900	9.543307	0.421998	0.824621	140	false
1158	4955	122	304	0	0	0.0000	0.000000	0.000000	0.000000	144	true
3255	5219	151	40	1	0	1072.0288	10.789116	0.242536	0.349215	146	false
