# File saved at:	Fri Oct 18 16:20:42 CDT 2013
# Egg count:	173
# Automated counting:	Done
# Manual inspection:	Done
# pX	pY	width	height	nEgg	probability	method
1647	1723	27	19	4	244	Automated counting
1787	1476	14	36	4	228	Automated counting
1723	1605	19	23	4	240	Automated counting
1767	1348	22	15	4	233	Automated counting
1347	1061	24	26	3	197	Automated counting
1602	1441	23	22	3	179	Automated counting
1617	1170	19	25	3	184	Automated counting
1182	1147	21	22	3	199	Automated counting
1632	1231	22	20	3	202	Automated counting
1748	1405	21	19	3	163	Automated counting
1253	1239	26	13	3	180	Automated counting
1081	1560	17	19	3	201	Automated counting
1773	1413	14	19	3	176	Automated counting
1622	1257	13	18	3	175	Automated counting
1748	1131	18	11	3	168	Automated counting
1151	1679	14	13	3	154	Automated counting
1801	1285	19	17	2	158	Automated counting
1858	1343	13	21	2	115	Automated counting
1384	1443	14	15	2	130	Automated counting
1849	1539	12	17	2	138	Automated counting
1680	1278	11	17	2	129	Automated counting
1260	1788	15	12	2	119	Automated counting
1764	1498	11	16	2	95	Automated counting
1131	1678	10	17	2	139	Automated counting
1358	1388	17	10	2	126	Automated counting
1534	967	15	11	2	116	Automated counting
1722	1940	11	15	2	116	Automated counting
1791	1441	15	11	2	103	Automated counting
1171	1503	16	10	2	99	Automated counting
1766	2024	10	16	2	118	Automated counting
1561	1888	14	11	2	118	Automated counting
1766	2061	12	12	2	107	Automated counting
1771	1464	11	10	1	91	Automated counting
973	1398	9	12	1	79	Automated counting
1191	1493	10	10	1	83	Automated counting
1358	1145	10	10	1	80	Automated counting
1608	1827	10	10	1	86	Automated counting
1066	1627	11	9	1	80	Automated counting
1365	1030	11	9	1	77	Automated counting
1798	1305	11	9	1	83	Automated counting
1802	1517	9	11	1	83	Automated counting
1035	1449	10	9	1	77	Automated counting
1040	1382	10	9	1	72	Automated counting
1118	1700	10	9	1	71	Automated counting
1172	1735	10	9	1	69	Automated counting
1181	1177	10	9	1	70	Automated counting
1372	1667	10	9	1	66	Automated counting
1727	1251	10	9	1	71	Automated counting
1734	1311	10	9	1	73	Automated counting
1757	1488	10	9	1	67	Automated counting
1807	1502	10	9	1	71	Automated counting
1149	1466	8	11	1	78	Automated counting
1191	1242	11	8	1	69	Automated counting
1625	1761	11	8	1	75	Automated counting
1095	1429	9	9	1	66	Automated counting
1103	1531	9	9	1	38	Automated counting
1116	1369	9	9	1	65	Automated counting
1150	1739	9	9	1	72	Automated counting
1352	1428	9	9	1	61	Automated counting
1597	1081	9	9	1	73	Automated counting
1683	1246	9	9	1	60	Automated counting
1704	1755	9	9	1	65	Automated counting
1719	1223	9	9	1	62	Automated counting
1827	1594	9	9	1	64	Automated counting
1129	1749	8	10	1	67	Automated counting
1147	1255	8	10	1	61	Automated counting
1186	1512	10	8	1	67	Automated counting
1219	1214	8	10	1	65	Automated counting
1232	1275	10	8	1	58	Automated counting
1251	1269	10	8	1	60	Automated counting
1362	1516	10	8	1	60	Automated counting
1501	1583	10	8	1	63	Automated counting
1524	1296	10	8	1	65	Automated counting
1575	1404	8	10	1	67	Automated counting
1587	1771	8	10	1	61	Automated counting
1600	1279	10	8	1	67	Automated counting
1628	1441	10	8	1	70	Automated counting
1687	1581	10	8	1	65	Automated counting
1750	1369	8	10	1	71	Automated counting
1775	1294	8	10	1	70	Automated counting
1169	942	8	9	1	63	Automated counting
1203	1274	8	9	1	62	Automated counting
1257	1363	8	9	1	63	Automated counting
1259	1636	9	8	1	60	Automated counting
1362	1829	9	8	1	63	Automated counting
1375	1418	8	9	1	59	Automated counting
1417	1106	9	8	1	56	Automated counting
1455	1552	8	9	1	60	Automated counting
1470	1974	8	9	1	57	Automated counting
1475	1293	9	8	1	61	Automated counting
1555	1560	9	8	1	64	Automated counting
1558	1426	8	9	1	49	Automated counting
1605	1398	8	9	1	58	Automated counting
1271	1487	7	10	1	63	Automated counting
1334	1424	10	7	1	51	Automated counting
1801	1475	7	10	1	62	Automated counting
1864	1267	10	7	1	62	Automated counting
763	1820	11	6	1	49	Automated counting
1092	1548	8	8	1	56	Automated counting
1109	1555	8	8	1	59	Automated counting
1124	1585	8	8	1	57	Automated counting
2144	2104	8	8	1	31	Automated counting
1125	1535	7	9	1	48	Automated counting
1281	1474	7	9	1	52	Automated counting
1343	1412	9	7	1	45	Automated counting
1385	1481	7	9	1	60	Automated counting
1614	1776	9	7	1	53	Automated counting
1699	1280	7	9	1	49	Automated counting
1711	1262	9	7	1	46	Automated counting
1746	1282	7	9	1	60	Automated counting
1109	1519	10	6	1	50	Automated counting
1144	1710	7	8	1	50	Automated counting
1153	1515	7	8	1	43	Automated counting
1298	1611	7	8	1	33	Automated counting
1127	1596	9	6	1	50	Automated counting
1129	1720	6	9	1	45	Automated counting
1706	1253	9	6	1	48	Automated counting
1755	1700	7	7	1	43	Automated counting
1115	1533	8	6	1	34	Automated counting
1161	1509	8	6	1	37	Automated counting
1154	1555	6	7	1	34	Automated counting
