# File saved at:	Fri Oct 18 15:31:24 CDT 2013
# worms count:	84
# pX	pY	width	height	length(micrometers)	imageClipN
1960	2094	58	227	1919.2396400768632	28
2490	2556	198	105	1644.4152560837072	43
4322	5077	100	151	1228.0642965024415	98
4914	2593	47	170	1216.0479860483426	41
2328	1523	100	76	1215.8684288238035	13
2095	4600	55	164	1210.4409922958826	85
4299	2088	145	101	1210.1618011212113	27
1671	3594	97	124	1203.2877854634348	66
1969	3649	84	118	1198.539695853802	67
2867	5240	162	42	1197.961218690096	101
4814	3877	93	142	1196.9345838162385	71
4838	2054	134	118	1192.5787671559758	25
5379	2446	92	111	1192.0146673193085	35
1401	4120	95	123	1188.7733708261835	76
4567	1115	56	165	1188.2103529489902	2
2408	4736	144	48	1180.3237688381323	89
4776	3572	119	122	1179.4687291699413	64
3074	4962	159	57	1178.8874694910749	95
3960	4828	95	123	1178.6558933683611	93
2986	2182	70	156	1178.43073255381	31
3243	3871	159	52	1177.5047357529031	70
4980	4502	78	151	1177.4666294305289	82
4318	1558	37	158	1172.7562606166618	14
1757	3805	72	145	1171.0279394786053	68
3655	3532	157	58	1170.9252913316814	63
2554	4407	160	51	1169.3754454586892	81
1459	3368	165	31	1166.6099779823448	60
2006	3343	116	127	1163.409183412176	58
3152	4573	48	161	1160.0648532455189	84
4589	4187	149	72	1159.038372216636	77
3696	2059	89	136	1155.7953751678276	26
3443	2137	46	160	1154.4822849212624	29
2375	3329	164	30	1150.4349534613282	57
4011	5081	22	168	1144.4916493569363	99
1440	2344	154	48	1144.0789692989722	33
5303	2551	70	127	1143.2475047811413	40
2057	3267	101	94	1141.9408298427409	55
5570	3082	152	45	1141.4806139574482	50
4181	2387	128	112	1138.002793519528	34
2055	2973	133	99	1137.9464453954827	47
1839	1704	56	150	1136.3246382669572	18
4213	4813	154	47	1134.0403331560822	91
4087	1325	84	145	1131.4902100747543	4
3560	1717	122	106	1129.9814847209286	19
4483	3209	63	148	1127.2012543909382	53
2538	5032	88	137	1126.7665458933257	97
2616	2145	86	138	1126.7665458933238	30
5010	4688	58	150	1124.1007123671125	88
2861	2461	69	148	1118.6017001102657	36
2817	1793	111	115	1117.9246709559036	21
5096	2542	116	98	1109.933352615828	39
3260	2803	64	145	1109.1488067170878	46
5030	3860	157	43	1107.9421512554256	69
1600	3465	77	77	1103.3127876754409	61
3817	4193	150	48	1102.8289966397867	78
4616	1402	46	153	1098.3020495250942	6
3011	1896	44	140	1094.2213264952647	22
2617	2685	30	161	1093.899547315345	45
3200	2463	83	124	1085.7897346272553	37
3868	1148	136	54	1083.225852815101	3
1920	4366	98	125	1080.158315446591	80
1900	2510	117	73	1071.0038591525738	38
3448	1771	78	87	1065.21777292681	20
4786	1564	62	130	1063.6642942608153	15
1920	1586	115	73	1063.152445003954	16
3646	1511	90	111	1048.9666896060214	11
4647	4665	42	135	1046.6378628646098	87
4480	3984	155	16	1044.9590111791708	74
3433	5363	91	121	1037.1933170169118	103
1791	4636	37	135	985.9471437630782	86
4784	3262	55	87	897.6522999222258	54
1778	3345	95	52	885.4075813871816	59
2191	3015	66	57	853.8583878082436	49
2652	4995	90	50	842.4697909008645	96
4949	2234	74	76	836.9699283661761	32
2728	3591	50	90	818.4632945885871	65
2288	1402	48	65	776.9437933292883	5
5219	4097	87	43	680.1837343688977	75
1254	1440	26	91	654.7053832207171	8
4429	1440	51	62	642.7657487746294	10
5090	5454	30	67	492.9195811337333	104
5282	5280	69	26	477.30479197474983	102
1263	4869	17	70	476.27151011109675	92
1256	4943	24	59	430.40863728125487	94
