#Avg trapped time in Control (sec):	66.83881
#Avg trapped time in Experimental (sec):	273.90213
#Escape time in Control (sec):	2
#Escape time in Experimental (sec):	178
#Time (sec)	Worm Count in Control	Worm Count in Experimental
0	5.065	5.008
2	3.613	5.040
4	0.806	4.790
6	0.032	4.815
8	0.032	4.879
10	0.032	4.992
12	0.032	5.185
14	0.032	4.976
16	0.032	5.105
18	0.032	5.065
20	0.032	5.048
22	0.032	4.839
24	0.032	4.871
26	0.032	4.911
28	0.032	5.097
30	0.008	5.159
32	0.171	4.956
34	0.740	4.834
36	1.420	5.046
38	1.980	5.233
40	2.298	5.322
42	2.322	4.907
44	2.436	5.111
46	2.460	4.802
48	2.493	5.159
50	3.411	4.875
52	3.598	4.997
54	3.078	4.997
56	2.476	5.192
58	2.354	4.964
60	2.192	4.915
62	1.590	4.850
64	1.265	4.647
66	1.233	4.728
68	1.306	5.029
70	1.241	5.054
72	1.249	5.111
74	1.208	5.184
76	1.273	4.875
78	1.273	4.525
80	1.265	4.948
82	1.224	4.989
84	1.257	4.712
86	0.984	4.663
88	1.257	5.184
90	1.249	4.777
92	0.959	4.663
94	0.862	4.607
96	0.520	4.590
98	0.236	4.696
100	0.000	4.704
102	0.008	4.972
104	0.000	4.712
106	0.008	4.810
108	0.008	4.720
110	0.130	4.655
112	0.008	4.672
114	0.008	4.590
116	0.008	4.623
118	0.000	4.647
120	0.366	4.777
122	0.756	4.655
124	1.224	4.826
126	1.354	4.883
128	2.046	4.712
130	2.257	4.550
132	2.208	4.753
134	2.184	4.607
136	2.094	4.753
138	2.208	4.867
140	2.127	4.826
142	2.200	4.915
144	2.070	4.891
146	1.558	4.793
148	1.663	4.899
150	0.911	4.696
152	1.363	4.802
154	0.984	4.818
156	0.976	4.590
158	1.208	4.720
160	1.208	4.533
162	1.208	4.615
164	1.224	4.460
166	1.233	4.078
168	1.208	4.029
170	0.984	4.176
172	1.216	4.257
174	1.249	4.460
176	1.273	4.086
178	0.919	3.924
180	1.249	4.550
182	0.967	4.281
184	0.967	3.980
186	0.935	4.257
188	1.281	4.476
190	1.224	4.054
192	0.992	3.720
194	1.241	4.127
196	0.976	4.127
198	0.992	3.867
200	0.943	4.314
202	1.000	4.200
204	0.967	4.436
206	0.992	4.574
208	1.257	4.639
210	1.306	4.363
212	0.992	4.314
214	1.224	4.184
216	1.241	4.070
218	0.992	4.135
220	1.000	4.111
222	1.216	4.420
224	0.951	4.224
226	0.992	4.460
228	1.241	4.501
230	1.233	4.533
232	1.233	4.411
234	1.233	4.208
236	1.224	4.501
238	1.000	4.501
240	0.967	4.135
242	1.000	3.940
244	0.976	4.330
246	0.976	4.119
248	0.715	4.346
250	0.789	4.379
252	0.870	4.078
254	0.951	4.167
256	0.927	4.420
258	0.967	4.289
260	0.967	4.395
262	1.216	4.493
264	1.216	4.338
266	0.992	4.013
268	1.216	4.119
270	0.992	4.151
272	1.000	4.306
274	1.224	4.143
276	1.298	4.444
278	1.273	4.590
280	0.618	4.428
282	0.252	4.208
284	0.496	4.452
286	0.976	4.444
288	0.984	4.363
290	0.967	4.550
292	0.992	4.208
294	0.984	4.680
296	0.976	4.818
298	1.224	4.696
