# Last update	2015-03-20 Fri 01:10:06
# Herm count	67
# Male count	3
# Status	Not Inspected
# pX	pY	width	height	nHerm	nMale	length (um)	fatness	e1	e2	maskImageIDNumb	unknown
2915	1925	64	134	1	0	1026.6333	12.101449	0.485071	0.632456	15	false
3143	1941	158	104	1	0	1193.2199	15.543750	0.533494	0.602355	16	false
5007	2186	47	180	1	0	1186.4807	12.357542	0.515805	0.588348	18	false
3103	2229	158	112	1	0	1283.2996	15.657143	0.461644	0.500000	19	false
3316	2266	97	134	1	0	1141.6516	12.771084	0.567646	0.641179	20	false
3034	2297	62	185	1	0	1249.5014	13.668478	0.507371	0.605257	21	false
3041	2469	52	163	1	0	1136.7342	12.839080	0.412311	0.500000	22	false
3694	2474	184	52	1	0	1285.9897	14.778947	0.461644	0.505076	23	false
4030	2502	181	25	1	0	1152.8894	12.390110	0.563093	0.605257	24	false
1904	2429	105	146	1	0	1164.7934	14.468750	0.591969	0.602355	25	false
2784	2549	184	105	0	0	0.0000	0.000000	0.000000	0.000000	26	true
2337	2638	68	216	0	0	0.0000	0.000000	0.000000	0.000000	27	true
2865	2640	143	211	0	0	0.0000	0.000000	0.000000	0.000000	28	true
2685	2680	71	139	1	0	1069.5947	11.762500	0.567646	0.680074	29	false
3445	2680	119	70	0	1	962.7271	9.784173	0.415227	0.894427	30	false
4157	2683	89	149	1	0	1103.4071	13.783784	0.434372	0.488397	31	false
2162	2693	97	114	0	0	947.1631	12.821138	0.532152	0.620174	32	true
3586	2721	170	246	0	0	0.0000	0.000000	0.000000	0.000000	33	true
2420	2806	115	151	1	0	1305.7902	20.781915	0.456070	0.500000	34	false
2511	2814	84	88	0	0	830.9572	10.495798	0.368782	0.537484	35	true
3126	2841	135	104	0	0	0.0000	0.000000	0.000000	0.000000	36	true
4141	2843	265	172	0	0	0.0000	0.000000	0.000000	0.000000	37	true
2627	2853	112	111	0	0	0.0000	0.000000	0.000000	0.000000	38	true
3064	2979	188	106	0	0	0.0000	0.000000	0.000000	0.000000	39	true
1873	3022	160	106	1	0	1221.4181	15.024845	0.456070	0.523053	40	false
2463	2964	153	100	1	0	1429.9476	11.379630	0.400000	0.930261	41	false
3204	3038	91	287	0	0	0.0000	0.000000	0.000000	0.000000	42	true
4358	3071	67	175	1	0	1212.5716	14.920904	0.363636	0.565962	43	false
2288	3002	159	204	0	0	0.0000	0.000000	0.000000	0.000000	44	true
2777	3038	132	103	1	0	1069.9707	17.758621	0.356131	0.721110	45	false
3636	3127	163	81	1	0	1202.3612	14.914634	0.345349	0.488397	46	false
4489	3184	168	76	1	0	1201.5743	13.654971	0.366088	0.602080	47	false
3913	3132	109	78	1	0	990.9090	12.787671	0.546781	0.563093	48	false
2798	3204	116	106	1	0	1060.4323	12.322148	0.482573	0.592043	49	false
3451	3143	132	97	1	0	1169.9656	13.047337	0.410264	0.537484	50	false
4395	3215	118	90	0	0	991.8083	11.525180	0.447214	0.666667	51	true
4218	3231	146	119	1	0	1196.5461	15.343949	0.418638	0.620174	52	false
2672	3148	81	115	1	0	1049.4258	12.180000	0.500000	0.563093	53	false
2005	3236	207	153	0	0	0.0000	0.000000	0.000000	0.000000	54	true
2612	3246	54	103	0	0	806.0279	12.504673	0.571429	0.618080	55	true
2184	3246	136	74	1	0	1039.4251	13.181159	0.424264	0.656532	56	false
3932	3244	187	72	0	0	0.0000	0.000000	0.000000	0.000000	57	true
4596	3281	93	154	1	0	1166.9007	13.919255	0.410264	0.567646	58	false
2484	3301	45	124	0	1	842.0328	9.185484	0.614295	0.951972	59	false
4339	3329	203	218	0	0	2390.9561	0.000000	0.000000	0.000000	60	true
2994	3234	138	154	1	0	1323.3767	20.965318	0.376116	0.571429	61	false
2826	3361	105	116	1	0	1067.5518	11.467105	0.400000	0.460977	62	false
2640	3356	71	123	0	0	974.1446	11.731034	0.351364	0.570088	63	true
2029	3519	152	16	0	0	943.3668	9.384106	0.552158	0.566558	64	true
3177	3528	153	52	1	0	1125.3087	13.432258	0.523053	0.565962	65	false
2934	3531	58	161	1	0	1181.2908	14.262195	0.497859	0.589015	67	false
3939	3538	114	143	1	0	1176.6311	21.837500	0.409644	0.472415	68	false
4443	3570	30	192	1	0	1187.9510	15.094241	0.454545	0.581238	69	false
2629	3575	55	119	0	0	868.6260	13.606838	0.428571	0.732177	70	true
2766	3536	117	118	0	0	0.0000	0.000000	0.000000	0.000000	71	true
4693	3683	68	136	1	0	1005.3015	11.600000	0.444444	0.460179	73	false
2011	3686	195	149	0	0	0.0000	0.000000	0.000000	0.000000	74	true
2543	3628	189	202	0	0	0.0000	0.000000	0.000000	0.000000	75	true
2368	3815	120	165	1	0	1277.7526	16.425150	0.357771	0.500000	76	false
2046	3847	114	151	1	0	1198.4581	17.324841	0.379473	0.485071	77	false
1980	3843	136	89	1	0	1105.2438	12.056962	0.406138	0.507673	78	false
4309	3892	203	177	0	0	2439.7373	0.000000	0.000000	0.000000	79	true
1682	3930	39	175	1	0	1171.5310	12.445714	0.460977	0.592043	80	false
1921	3940	109	117	1	0	1049.8228	12.676056	0.471405	0.589015	81	false
2392	3931	184	94	1	0	1315.0229	24.372973	0.392232	0.419704	82	false
2080	3957	166	38	1	0	1075.5619	11.210843	0.537484	0.605257	83	false
2653	3932	156	150	0	0	0.0000	0.000000	0.000000	0.000000	84	true
2118	4038	78	151	1	0	1158.5553	12.789474	0.412311	0.651920	85	false
3760	4047	72	123	0	1	901.1900	10.264000	0.493197	1.457738	86	false
2922	4057	159	165	0	0	0.0000	0.000000	0.000000	0.000000	87	true
3322	4092	193	51	1	0	1267.1248	13.753927	0.507371	0.605783	88	false
4381	4066	162	134	0	0	2050.9202	0.000000	0.000000	0.000000	89	true
3887	4109	115	62	1	0	1037.9498	12.231293	0.447214	0.458123	90	false
3231	4185	169	92	0	0	0.0000	0.000000	0.000000	0.000000	91	true
2427	4267	189	50	1	0	1266.0150	23.673684	0.316228	0.441942	92	false
2303	4357	133	167	1	0	1355.0932	16.483146	0.418638	0.600000	93	false
4145	4363	199	230	0	0	0.0000	0.000000	0.000000	0.000000	94	true
2146	4387	90	170	1	0	1226.4572	13.333333	0.570826	0.602080	95	false
1723	4387	156	85	1	0	1136.4428	13.782051	0.447214	0.470360	96	false
2282	4433	120	106	1	0	1109.0816	12.310559	0.441726	0.566352	97	false
3890	4475	63	190	1	0	1275.5372	19.078947	0.268328	0.333333	99	false
2697	4500	57	161	1	0	1121.6406	11.899408	0.400000	0.485071	100	false
3068	4562	100	106	1	0	984.1057	13.891304	0.488397	0.604122	102	false
3205	4582	137	109	1	0	1176.1966	14.048485	0.394922	0.521536	103	false
1661	4584	41	142	0	0	956.5268	10.666667	0.460977	0.493865	104	true
1942	4586	46	156	1	0	1045.3526	11.383648	0.434613	0.602080	105	false
2914	4593	30	97	0	0	637.8452	8.214286	0.541390	0.777029	106	true
3954	4610	35	153	1	0	1030.8186	11.305732	0.434613	0.613572	107	false
3413	4618	143	121	1	0	1182.2744	23.097403	0.263955	0.565962	108	false
2246	4666	176	34	1	0	1148.7122	12.628571	0.507371	0.605783	109	false
3541	4718	63	148	1	0	1073.7686	11.660494	0.349215	0.608276	110	false
2578	4618	207	256	0	0	0.0000	0.000000	0.000000	0.000000	111	true
3670	4758	145	46	1	0	996.5742	11.695364	0.629317	0.651920	112	false
3346	4757	172	41	1	0	1086.3377	18.672619	0.392232	0.657667	114	false
2402	4775	44	158	1	0	1075.1150	11.962264	0.447214	0.495261	115	false
2952	4846	95	37	0	0	640.7160	8.408602	0.434372	0.566352	116	true
2964	4857	101	200	0	0	0.0000	0.000000	0.000000	0.000000	117	true
3541	4886	50	140	1	0	1055.7587	10.958621	0.626013	0.632456	118	false
3803	4945	136	85	1	0	1080.1259	12.895425	0.517727	0.546781	119	false
1637	4904	80	63	0	0	730.3510	7.188119	0.707107	0.874475	120	true
3227	4954	134	124	1	0	1156.7245	15.106667	0.434372	0.602355	122	false
3451	4963	21	178	1	0	1102.6211	12.062147	0.434613	0.544059	123	false
3854	4974	74	99	0	0	954.5446	10.535211	0.563093	0.666667	124	true
2634	5076	153	95	1	0	1158.6853	13.750000	0.418638	0.583095	126	false
2813	5083	129	105	1	0	1208.8530	14.469613	0.373288	0.481664	127	false
669	4909	331	371	0	0	3352.7180	0.000000	0.000000	0.000000	131	true
2362	5289	169	48	1	0	1166.8735	12.349112	0.507371	0.666667	132	false
1064	5388	216	210	0	0	1849.2685	0.000000	0.000000	0.000000	133	true
