# File saved at:	Fri Oct 18 15:33:09 CDT 2013
# worms count:	77
# pX	pY	width	height	length(micrometers)	imageClipN
3842	2135	107	212	1853.4713620634518	36
3494	1934	156	81	1373.2499086553141	30
1745	2798	42	174	1291.0369566529544	79
3490	4448	101	113	1279.4170319888153	169
3947	3644	78	147	1277.7376707016847	130
4206	2722	157	79	1274.8378923547982	76
2959	2637	45	180	1272.894687751614	65
3793	5062	121	128	1271.0562142910871	184
3762	2640	78	128	1255.1814006532225	67
1766	2528	96	111	1250.8731158791804	56
3443	2210	141	100	1247.8382359215427	41
2022	2560	120	121	1244.200158977944	60
3834	2854	146	77	1237.928620199376	87
3531	2437	89	116	1229.6769028492827	53
4138	3542	128	78	1228.4080363809321	124
3999	3927	102	76	1224.972649079322	145
2650	3975	90	115	1224.0716107398557	149
2707	3589	133	124	1221.9874473554967	127
3633	3943	127	72	1221.0182437980457	147
2195	2009	82	144	1219.8954516456718	32
3026	3221	145	87	1216.1628001773036	107
3750	2881	158	78	1215.7628700200783	84
2520	4485	88	92	1212.827102935269	171
1974	4368	73	89	1209.5759182914749	166
4305	3203	56	149	1206.55861453931	101
3804	3374	131	117	1206.0811088760445	116
2774	3661	76	158	1204.231493567211	131
3634	2739	122	69	1201.9334242408406	78
2352	3277	62	165	1201.0263595878716	105
1691	2662	112	110	1194.1806754690742	71
1355	2850	168	49	1189.7266499709974	82
2436	4273	142	64	1186.0131371252724	163
2821	2250	127	80	1185.598681145184	42
3513	4775	70	87	1184.9088319570678	175
2710	4816	139	69	1182.5241104285399	177
2994	2588	134	76	1172.672672449552	64
3492	2643	113	129	1168.9415833983517	68
4088	2621	78	94	1168.3628997100625	63
4095	3532	41	162	1166.9362398906799	123
3779	3226	94	80	1165.3234814043697	108
3153	5043	47	132	1153.9502318944776	183
1933	1898	131	99	1149.5774094718097	28
3893	3605	78	144	1146.5780155170692	128
3146	2151	95	117	1140.803046572686	38
1540	2042	73	143	1139.6663057841977	34
3298	5289	118	102	1138.871894596504	186
3488	3409	163	31	1138.3777235064574	117
2774	2142	112	84	1136.8156284843787	37
1781	3334	149	54	1129.8733046886148	113
3431	3450	87	140	1121.6391635439945	119
3978	4433	48	131	1083.53951120496	168
1652	4308	83	92	1079.846884087547	165
1238	2653	149	30	1062.9403943957989	69
4167	5034	134	69	1055.0431337252223	181
4355	4886	101	86	998.1610415305447	178
2730	5346	52	101	995.3779522619598	189
1549	4743	75	119	978.4545380032085	173
5398	1828	52	92	726.8046793196298	24
4376	1300	72	41	630.5234542546732	13
4245	5307	66	70	583.4964276083458	187
3666	5380	62	56	564.1592401753384	190
4988	2707	64	48	531.6739566418444	74
1853	1348	60	44	519.8462268009137	14
1470	3895	61	45	518.0892900077388	139
1338	3516	60	32	465.27821772091835	121
1881	5081	48	58	455.6940070325435	185
2657	992	48	49	435.3036806305925	8
2445	2638	43	58	434.2635795190675	66
2980	666	64	43	433.22133880362594	1
3535	2894	53	38	429.76655373914923	85
4402	1093	57	42	394.5321045228007	10
955	3028	49	39	385.2241978211505	93
3569	4229	33	48	383.00675438343444	161
1483	2658	50	39	357.93519954374904	70
2616	903	31	50	349.3165648434663	4
2262	855	52	22	344.73742520944745	3
3109	1777	37	49	331.1152074202522	23
