# Particle Count:	62
# Single Worm Area:	139
# Component Count:	2
# pX	pY	width	height	nWorm	area	label No
1247	96	15	26	1	82	1
1007	132	13	29	1	120	1
1208	165	20	16	1	135	1
1069	196	26	30	1	184	1
852	207	30	32	1	201	1
1338	264	40	15	1	142	1
1777	284	22	38	1	154	1
849	303	31	25	1	175	1
1884	327	31	21	1	90	1
1039	329	28	24	1	143	1
967	373	22	27	1	128	1
1623	390	8	40	1	124	1
1568	391	29	27	1	148	1
1000	402	16	10	1	65	1
725	411	16	37	1	140	1
886	437	40	28	1	142	1
2054	465	26	39	1	155	1
1476	482	19	33	1	185	1
1649	488	40	12	1	139	1
1938	505	26	26	1	172	1
1172	506	36	11	1	119	1
794	509	22	24	1	194	1
958	513	23	35	1	148	1
1235	544	20	14	1	51	1
1217	568	27	17	1	73	1
1171	585	12	42	1	153	1
1221	629	47	16	2	269	1
1336	671	27	27	1	185	1
402	677	23	34	1	173	1
1463	680	17	28	1	107	1
1084	704	42	7	1	127	1
826	734	24	15	1	70	1
305	738	24	33	2	220	1
1444	780	18	30	1	144	1
718	786	25	21	1	90	1
1228	787	33	18	1	125	1
554	836	17	78	2	288	1
2155	947	18	23	1	123	1
1228	954	24	16	1	107	1
1666	984	35	24	1	194	1
249	1002	12	49	1	196	1
1171	1321	35	22	1	195	2
1261	1333	13	20	1	65	2
1835	1357	24	30	1	103	2
2097	1363	28	30	1	97	2
865	1365	26	24	1	134	2
2320	1365	6	14	1	56	2
1064	1380	24	24	1	115	2
418	1394	28	18	1	76	2
731	1396	30	31	1	103	2
1177	1412	31	26	1	122	2
337	1492	28	22	1	129	2
2315	1571	19	10	1	87	2
1277	1626	32	21	1	140	2
796	1731	21	25	1	141	2
705	1733	35	8	1	98	2
974	1760	18	25	2	215	2
838	1852	24	26	1	102	2
710	1881	24	33	1	182	2
694	1916	27	42	1	166	2
791	1975	9	46	1	154	2
865	2114	38	25	1	154	2
