totalLiveWorms=85
Inspected-by-human
#Date: Fri Oct 18 15:27:07 CDT 2013
#lifespan-assay-software-version: 10/18/2013
#worm-details:
#nLive	X	Y	Width	Height
1	940	601	70	42
1	538	1054	44	59
1	515	1021	37	38
1	1252	546	30	82
1	1250	512	57	38
1	1624	977	24	98
1	1165	1487	48	44
1	1351	693	54	39
1	1404	728	49	28
1	682	1381	54	39
1	662	1408	28	23
1	682	1419	55	29
1	782	683	52	39
1	459	420	44	46
1	492	443	9	17
1	1354	1086	50	40
1	224	1158	54	37
1	1446	1455	35	56
1	1437	1440	23	16
1	811	369	41	45
1	346	1118	38	48
1	1245	1528	43	41
1	1229	1543	19	17
1	1242	1271	47	37
1	810	1088	36	48
1	1001	1151	36	47
1	268	1033	33	50
1	1055	607	29	56
1	1303	1598	41	39
1	822	863	38	42
1	776	1042	63	25
1	1508	1244	33	47
1	449	971	49	30
1	461	1335	30	49
1	664	438	61	23
1	927	1489	47	29
1	800	1480	25	53
1	468	803	38	33
1	203	1275	22	56
1	1345	1447	30	41
1	917	910	38	32
1	523	1450	21	57
1	405	830	31	37
1	543	1632	21	53
1	984	1017	31	35
1	1146	548	36	30
1	1182	531	58	13
1	211	714	56	19
1	1119	480	20	52
1	654	1565	52	20
1	319	1195	51	20
1	1154	804	36	28
1	644	344	31	32
1	649	1097	16	60
1	414	1472	19	50
1	988	1506	21	45
1	794	1410	49	19
1	1018	885	54	17
1	322	781	54	16
1	1303	1552	43	20
1	1358	1331	16	53
1	1016	433	65	13
1	903	859	56	15
1	1057	1643	30	23
1	377	662	14	46
1	1241	1416	25	24
1	954	508	23	26
1	986	1719	46	13
1	885	1574	57	10
1	448	1421	29	19
1	620	989	17	30
1	232	666	24	17
1	218	680	10	19
1	1294	416	27	15
1	611	743	17	19
1	636	1437	24	13
1	451	560	15	20
1	1084	960	25	11
1	720	1083	10	27
1	562	1212	15	16
1	755	456	18	13
1	646	1071	19	12
1	388	515	9	22
1	886	979	11	14
1	86	629	12	9
