totalLiveWorms=78
Inspected-by-human
#Date: Fri Oct 18 15:27:40 CDT 2013
#lifespan-assay-software-version: 10/18/2013
#worm-details:
#nLive	X	Y	Width	Height
1	1018	1298	56	57
1	1016	1268	52	32
1	1074	1155	54	39
1	1125	1122	23	54
1	1150	1173	27	24
1	575	1552	45	43
1	781	1157	41	46
1	776	632	30	59
1	1139	1591	43	41
1	839	855	47	37
1	878	429	35	48
1	1421	995	49	31
1	1209	1052	37	41
1	1210	1290	55	27
1	1425	632	29	51
1	456	1219	51	29
1	318	486	46	32
1	934	658	44	33
1	1093	995	25	58
1	623	1192	26	55
1	251	843	42	34
1	499	1125	47	30
1	438	963	34	41
1	461	981	23	59
1	885	1364	44	30
1	898	616	28	47
1	572	1224	41	32
1	784	1298	46	28
1	217	1102	49	26
1	355	1119	27	47
1	953	700	47	27
1	798	439	29	43
1	1142	987	22	54
1	1139	1039	15	24
1	946	1249	56	21
1	515	480	32	35
1	967	1153	31	35
1	739	1018	23	47
1	731	995	7	18
1	818	398	43	25
1	1304	1136	37	29
1	630	390	46	23
1	785	1518	23	46
1	1081	1552	20	50
1	510	424	31	31
1	359	875	16	55
1	1050	368	17	50
1	1207	612	49	17
1	787	1458	55	15
1	514	1622	18	44
1	772	1402	46	17
1	1324	1469	43	18
1	216	602	15	51
1	352	773	53	14
1	356	1188	20	34
1	215	1162	11	57
1	998	1384	36	17
1	973	1440	21	29
1	1338	664	14	43
1	874	1282	26	23
1	741	326	42	13
1	918	1555	36	15
1	1305	436	12	41
1	828	1683	17	26
1	994	884	11	36
1	1131	451	12	29
1	582	1016	13	25
1	361	1557	22	14
1	386	1562	15	8
1	1068	480	15	19
1	715	1111	12	19
1	662	1069	13	17
1	678	1080	8	20
1	1218	322	20	11
1	637	1011	8	26
1	868	637	17	11
1	1452	953	22	7
1	1297	1440	17	9
