# Last update	2015-03-20 Fri 01:11:15
# Herm count	73
# Male count	15
# Status	Not Inspected
# pX	pY	width	height	nHerm	nMale	length (um)	fatness	e1	e2	maskImageIDNumb	unknown
5047	1310	122	130	1	0	1264.5642	20.503145	0.454751	0.474342	16	false
987	1497	293	402	0	0	3423.2064	0.000000	0.000000	0.000000	22	true
3329	1797	52	93	0	1	903.3212	8.356522	0.707107	0.946864	25	false
3825	1865	89	120	1	0	1183.8498	11.939394	0.410264	0.605257	27	false
3034	1901	47	120	0	1	1043.6836	10.715328	0.640184	0.790569	28	false
2853	1951	96	153	1	0	1249.1065	13.901961	0.500000	0.519685	31	false
3715	2053	45	88	0	0	667.6802	7.894118	0.434372	0.563093	34	true
4699	2085	149	29	0	1	1060.0020	9.561644	0.434613	0.651920	35	false
5555	2111	143	265	0	0	1987.6110	0.000000	0.000000	0.000000	37	true
1889	2172	93	136	1	0	1141.4781	12.794326	0.500000	0.519875	39	false
2968	2188	75	102	0	1	994.7447	8.896296	0.589015	1.019804	40	false
2247	2269	64	88	0	0	890.1576	8.762295	0.500000	0.571429	42	true
3734	2269	95	67	0	1	773.5165	11.676190	1.185498	1.546041	43	false
2469	2303	124	45	0	0	933.4613	9.944444	0.554700	0.620174	45	true
2622	2326	163	90	0	0	0.0000	0.000000	0.000000	0.000000	46	true
3540	2367	46	117	0	1	941.2782	8.495798	0.000000	0.883883	47	false
4892	2397	145	66	1	0	1120.3868	19.034014	0.232495	0.447214	48	false
3504	2407	43	119	0	1	908.1820	7.589744	0.666667	0.954521	49	false
2358	2425	141	42	0	1	1053.4470	10.554054	0.600925	0.760345	50	false
2958	2463	232	106	0	0	0.0000	0.000000	0.000000	0.000000	51	true
2978	2507	160	228	0	0	1931.5283	0.000000	0.000000	0.000000	53	true
2708	2510	144	71	1	0	1112.5081	10.453901	0.434613	0.549442	54	false
2623	2456	104	88	1	0	1280.2671	14.444444	0.565962	0.640312	55	false
2618	2525	96	164	0	0	0.0000	0.000000	0.000000	0.000000	56	true
2788	2529	148	68	0	0	0.0000	0.000000	0.000000	0.000000	57	true
3517	2440	60	100	0	1	897.2684	7.756757	0.746577	0.841021	58	false
3906	2564	38	116	0	0	849.3171	7.730435	0.392232	0.588348	59	true
2289	2574	54	159	1	0	1158.9900	12.056962	0.537484	0.680074	62	false
2760	2587	33	171	1	0	1209.9088	11.474286	0.438529	0.594692	63	false
3053	2555	270	260	0	0	0.0000	0.000000	0.000000	0.000000	65	true
3309	2599	140	102	0	0	0.0000	0.000000	0.000000	0.000000	66	true
3228	2700	144	103	0	1	1243.6955	7.513158	0.316228	1.000000	67	false
3231	2687	131	75	0	0	0.0000	0.000000	0.000000	0.000000	68	true
3788	2729	143	92	1	0	1292.4055	14.257485	0.546781	0.783076	69	false
2253	2593	216	172	0	0	0.0000	0.000000	0.000000	0.000000	70	true
3238	2746	63	168	1	0	1250.0867	19.094118	0.235702	0.579284	71	false
1804	2756	99	74	0	0	850.6038	10.855769	0.693375	0.824621	72	true
3514	2757	74	140	0	0	0.0000	0.000000	0.000000	0.000000	73	true
3029	2762	131	122	1	0	1297.9065	22.957317	0.387671	0.508465	74	false
1741	2786	61	110	0	1	951.8388	10.528000	0.554700	0.954521	76	false
3111	2787	56	146	1	0	1088.8519	12.917808	0.451754	0.563093	77	false
3664	2817	74	114	0	0	944.7083	11.425000	0.352261	0.589256	78	true
2728	2824	140	83	1	0	1188.2315	14.341935	0.412311	0.602080	79	false
2481	2714	145	141	0	0	0.0000	0.000000	0.000000	0.000000	80	true
3425	2840	238	231	0	0	0.0000	0.000000	0.000000	0.000000	81	true
2240	2909	180	40	1	0	1286.5440	13.408840	0.507673	0.509902	82	false
3502	2930	30	150	0	1	1074.2484	8.397351	0.651920	0.958603	83	false
3205	2939	115	75	1	0	929.1771	16.082645	0.477171	0.680074	84	false
1978	2960	148	95	1	0	1200.8441	13.687075	0.537484	0.566352	86	false
3581	2964	279	287	0	0	0.0000	0.000000	0.000000	0.000000	87	true
3646	2995	61	104	0	0	969.3458	8.776860	0.485913	0.500000	88	true
1913	3002	132	65	1	0	1199.9824	14.361842	0.687184	1.000000	89	false
2674	2957	105	93	1	0	995.4176	12.103175	0.331295	0.538516	91	false
2279	3039	166	58	1	0	1248.3665	13.577381	0.455321	0.832993	93	false
3513	3049	134	133	0	0	0.0000	0.000000	0.000000	0.000000	94	true
2334	3059	134	133	1	0	1266.3412	16.711409	0.566352	0.685004	95	false
3089	3135	167	67	1	0	1072.1123	26.006849	0.397643	0.827569	99	false
4133	3077	136	97	1	0	1321.5151	14.211429	0.488397	0.515805	100	false
3359	3167	53	131	0	0	984.9830	12.180451	0.563093	0.744348	101	true
1897	3184	184	51	0	0	0.0000	0.000000	0.000000	0.000000	102	true
2192	3235	173	24	1	0	1186.3483	12.286550	0.398015	0.605783	103	false
2109	3163	105	129	1	0	1175.5928	12.728477	0.474342	0.620174	104	false
1984	3244	57	98	0	0	800.8858	9.038835	0.707107	0.728431	105	true
4023	3248	47	162	1	0	1162.8575	12.434783	0.596795	0.605257	106	false
4273	3256	125	59	0	0	964.3723	12.008065	0.515388	0.571429	108	true
1810	3282	110	76	0	0	972.2500	11.424000	0.566352	0.587220	110	true
3612	3295	140	63	1	0	1166.5031	14.201342	0.521536	0.542326	111	false
1753	3309	102	214	0	0	0.0000	0.000000	0.000000	0.000000	112	true
3521	3342	131	93	1	0	1178.1948	14.542484	0.559017	0.563093	113	false
3719	3356	101	96	1	0	1059.6924	14.006993	0.488397	0.509902	115	false
3952	3358	61	175	1	0	1293.6863	14.135593	0.545455	0.570826	116	false
