# Particle Count:	131
# Single Worm Area:	215
# Component Count:	2
# pX	pY	width	height	nWorm	area	label No
1535	169	41	26	1	213	1
936	202	50	15	1	252	1
860	203	17	39	1	200	1
1168	230	50	22	1	240	1
1608	239	50	10	1	209	1
1546	241	25	21	1	164	1
763	279	27	41	1	236	1
1405	289	35	18	1	163	1
821	291	32	28	1	245	1
1091	303	42	16	1	230	1
1125	306	103	69	3	668	1
442	314	171	167	3	704	1
608	323	36	37	1	282	1
836	323	59	19	2	406	1
1359	353	28	19	1	101	1
972	362	45	43	2	367	1
1241	362	33	24	1	222	1
592	375	47	23	1	229	1
1194	380	26	32	1	210	1
935	386	48	12	1	169	1
993	417	43	18	1	188	1
915	427	54	98	4	780	1
1135	431	19	47	1	222	1
1028	434	26	22	1	180	1
511	457	27	42	1	295	1
1274	461	43	37	2	466	1
1059	466	50	21	1	243	1
531	480	32	45	1	294	1
1238	495	31	20	1	248	1
1021	509	12	55	1	230	1
738	529	18	45	1	190	1
1500	531	47	34	2	403	1
1134	535	43	22	1	225	1
861	537	50	19	1	234	1
1173	539	59	40	2	467	1
1137	553	44	40	2	413	1
1722	555	37	17	1	149	1
1628	560	20	41	1	200	1
412	563	46	38	2	367	1
1507	570	20	48	1	241	1
1464	573	35	26	1	214	1
1028	576	35	25	1	220	1
1941	598	33	29	1	196	1
1159	599	17	41	1	222	1
1718	609	33	29	1	202	1
1236	619	43	23	1	253	1
1344	626	35	38	1	211	1
979	632	19	16	1	82	1
1261	639	24	36	1	170	1
1134	645	18	19	1	263	1
436	652	27	27	1	242	1
1199	656	51	21	1	269	1
1312	658	30	23	1	155	1
1509	669	18	47	1	207	1
980	671	14	47	1	234	1
1216	685	26	40	1	195	1
1085	693	45	25	1	218	1
857	704	24	47	2	347	1
512	710	34	26	1	177	1
1185	715	33	42	2	412	1
1123	726	30	53	2	416	1
1375	734	39	18	1	187	1
647	746	24	41	1	177	1
1044	755	35	26	1	206	1
1110	756	23	49	1	234	1
1162	765	41	18	1	232	1
1254	773	23	33	1	232	1
679	780	37	33	1	215	1
1077	816	38	26	1	189	1
2053	817	37	24	1	123	1
1009	819	36	36	1	211	1
2034	822	10	43	1	165	1
1163	837	38	31	1	271	1
1105	840	35	32	1	212	1
457	842	36	25	1	177	1
702	849	20	39	1	137	1
740	851	39	21	1	160	1
734	875	32	34	1	178	1
1016	879	13	51	1	222	1
1572	884	35	34	1	178	1
927	900	45	30	2	355	1
1048	925	24	36	1	195	1
1834	948	23	24	1	280	1
472	958	35	33	1	278	1
1103	994	30	34	1	274	1
1284	997	26	20	1	170	1
989	1038	45	27	1	234	1
536	1315	32	40	1	227	2
768	1324	16	30	1	147	2
884	1331	33	30	1	317	2
1501	1357	36	33	1	191	2
1916	1362	43	11	1	183	2
243	1363	9	21	1	143	2
991	1375	18	41	1	197	2
1619	1382	26	39	1	194	2
1199	1407	34	18	1	179	2
1148	1430	34	39	1	239	2
1327	1455	27	35	1	221	2
2029	1501	39	31	1	193	2
1639	1562	14	50	1	224	2
2182	1606	31	29	1	233	2
1493	1626	40	31	1	209	2
1923	1632	7	28	1	97	2
1649	1635	45	17	1	210	2
920	1651	16	45	1	220	2
574	1652	40	27	1	237	2
996	1686	25	44	1	211	2
1487	1689	42	19	1	191	2
1029	1740	25	22	1	186	2
873	1816	25	26	1	125	2
1411	1817	39	19	1	195	2
1366	1916	31	33	1	314	2
1518	1921	30	49	1	250	2
788	1932	47	16	1	319	2
609	1951	47	9	1	223	2
1721	1953	32	38	1	234	2
1387	1977	31	40	1	204	2
1938	1996	17	40	1	195	2
697	2022	31	29	1	243	2
1410	2022	34	24	1	205	2
1370	2051	37	29	1	191	2
1209	2139	37	34	1	257	2
773	2164	44	23	1	303	2
1044	2214	22	45	1	292	2
1143	2269	9	10	1	75	2
