# Particle Count:	111
# Single Worm Area:	120
# Component Count:	2
# pX	pY	width	height	nWorm	area	label No
1306	83	197	29	5	604	1
1210	166	17	22	1	102	1
979	169	14	35	2	229	1
1338	183	15	27	1	149	1
1183	191	28	28	1	175	1
1003	218	24	15	1	128	1
1058	227	21	22	1	124	1
1383	230	15	37	1	151	1
1177	242	7	34	1	152	1
1232	263	17	33	1	117	1
840	277	33	10	1	134	1
1302	297	4	21	1	54	1
1244	309	32	11	1	108	1
1480	317	27	18	1	104	1
692	340	17	21	1	135	1
990	346	15	29	1	100	1
1048	347	41	13	1	156	1
1564	367	32	14	1	105	1
1039	372	26	14	1	93	1
1084	386	8	29	1	75	1
1865	411	22	27	1	166	1
1024	418	38	14	1	113	1
1001	424	30	31	1	139	1
1066	428	23	24	1	78	1
1207	437	32	10	1	102	1
1251	443	17	27	1	90	1
1444	443	7	38	1	112	1
1377	444	13	35	1	120	1
1195	446	19	31	1	125	1
1213	447	19	25	1	71	1
695	474	11	42	2	189	1
1005	477	29	24	2	222	1
1119	479	67	16	4	432	1
1206	496	15	43	4	474	1
1268	508	30	16	1	172	1
1154	518	39	32	3	356	1
1761	525	24	32	1	174	1
1358	530	26	19	1	120	1
1297	532	29	22	2	182	1
1571	539	23	34	1	131	1
885	543	10	39	1	148	1
1340	556	31	19	1	151	1
1158	558	21	21	1	128	1
1235	566	36	32	3	344	1
1349	575	21	20	1	107	1
1165	587	26	22	1	138	1
1527	595	27	30	1	131	1
1275	621	8	36	1	124	1
1295	624	13	19	1	73	1
768	625	34	14	1	136	1
1567	631	23	18	1	63	1
1390	646	25	20	1	105	1
478	659	10	32	1	92	1
831	718	11	36	1	114	1
1412	749	27	13	1	111	1
968	753	27	30	1	124	1
1096	790	27	8	1	72	1
1530	833	30	13	1	103	1
557	844	25	17	1	96	1
1210	845	22	31	1	123	1
1166	855	17	34	1	122	1
961	877	5	44	1	143	1
1407	894	11	34	1	92	1
1011	917	33	16	1	133	1
1053	920	11	35	1	133	1
1248	925	22	27	1	137	1
1131	929	9	40	2	209	1
971	955	29	25	1	158	1
1337	975	11	34	1	125	1
1179	988	21	28	1	137	1
1252	994	29	14	1	147	1
1490	1001	30	21	1	96	1
885	1009	23	23	1	100	1
1400	1011	21	9	1	51	1
969	1021	36	40	3	318	1
1380	1029	25	13	1	86	1
1110	1035	19	23	1	71	1
1210	1044	10	26	1	73	1
1017	1052	36	25	3	300	1
1110	1060	24	12	1	53	1
1370	1316	25	22	1	126	2
1166	1320	29	11	1	76	2
1506	1330	24	28	1	127	2
1266	1351	8	27	1	76	2
1550	1359	18	20	1	78	2
1277	1376	19	20	1	95	2
2345	1381	18	89	2	208	2
1509	1389	19	26	1	114	2
195	1393	8	24	1	53	2
2358	1446	13	24	2	182	2
1083	1450	22	13	1	86	2
1530	1472	30	13	1	117	2
1101	1486	15	31	1	110	2
1000	1497	10	30	1	96	2
1992	1502	23	11	1	68	2
1457	1509	24	28	1	117	2
2318	1533	30	66	6	765	2
1176	1556	18	15	1	63	2
2024	1578	18	25	1	88	2
958	1592	21	22	1	88	2
567	1595	20	20	1	99	2
1155	1651	9	8	1	50	2
1917	1714	29	11	1	67	2
1384	1765	16	29	1	130	2
1772	1787	23	23	1	117	2
1451	1933	33	22	1	150	2
810	1956	24	31	1	155	2
1104	1962	10	31	1	92	2
1184	1996	25	17	1	104	2
1360	2094	18	27	1	110	2
1708	2117	19	35	1	143	2
