totalLiveWorms=60
Inspected-by-human
#Date: Fri Oct 18 15:28:04 CDT 2013
#lifespan-assay-software-version: 10/18/2013
#worm-details:
#nLive	X	Y	Width	Height
1	1311	488	61	68
1	852	595	52	56
1	822	586	27	62
1	1116	1544	57	44
1	1075	1537	47	15
1	1317	305	36	49
1	847	405	36	48
1	688	1318	59	29
1	1474	770	36	45
1	1441	745	35	39
1	1547	421	36	44
1	1079	998	27	57
1	859	1458	44	33
1	328	785	26	55
1	1206	1116	25	57
1	980	656	49	29
1	970	366	35	40
1	1186	327	51	27
1	835	1330	32	43
1	1460	365	28	45
1	783	692	48	26
1	766	439	25	48
1	871	1091	51	23
1	1396	1138	43	27
1	1597	1129	40	29
1	1362	1537	39	29
1	1663	1255	31	35
1	1024	1209	32	33
1	449	1053	34	31
1	730	332	54	19
1	737	710	20	50
1	775	1611	25	40
1	1302	1206	35	27
1	903	1297	45	21
1	803	1518	36	26
1	1165	1229	16	53
1	1303	1538	41	20
1	578	533	24	34
1	1380	618	26	31
1	762	1398	13	62
1	1185	1458	15	53
1	1106	1512	50	14
1	1408	1330	15	46
1	793	150	53	13
1	1614	771	15	43
1	1161	1395	37	13
1	1497	1533	18	25
1	408	1396	17	24
1	430	1422	10	12
1	414	1360	26	13
1	388	1356	23	8
1	1710	1084	14	19
1	548	348	13	20
1	548	369	10	10
1	598	1568	20	13
1	623	1581	17	7
1	805	131	17	12
1	1052	213	12	14
1	1720	1063	10	15
1	1847	27	16	9
