totalLiveWorms=66
Inspected-by-human
#Date: Fri Oct 18 15:28:44 CDT 2013
#lifespan-assay-software-version: 10/18/2013
#worm-details:
#nLive	X	Y	Width	Height
1	1266	874	27	117
1	1143	524	64	33
1	1483	1429	60	35
1	1159	1160	42	48
1	555	973	47	35
1	952	1219	42	39
1	966	1255	31	12
1	431	1234	37	44
1	1262	1006	31	48
1	1244	973	14	30
1	1231	1077	24	61
1	1240	1069	9	26
1	1209	1090	21	61
1	767	1064	42	34
1	1083	920	32	41
1	468	1478	37	33
1	427	1500	40	28
1	540	809	39	29
1	954	1324	40	27
1	996	965	47	22
1	1219	877	18	56
1	406	957	48	21
1	1169	748	31	32
1	1058	1241	39	25
1	1413	1548	25	39
1	1416	1504	9	39
1	936	955	19	51
1	977	1119	43	22
1	1110	1570	36	26
1	770	1295	29	32
1	683	1159	28	33
1	1113	493	40	23
1	1385	940	27	34
1	799	796	19	46
1	789	769	8	25
1	1067	595	17	50
1	1175	1008	20	42
1	1335	835	21	39
1	716	966	34	24
1	748	541	42	19
1	1189	1517	29	27
1	296	1041	21	37
1	1128	585	16	47
1	443	607	25	30
1	1325	811	44	17
1	931	596	49	15
1	406	1185	18	34
1	1403	1235	33	18
1	1172	815	19	31
1	547	1592	22	23
1	911	744	11	45
1	1424	558	19	25
1	1067	1149	12	38
1	1360	577	37	12
1	1003	1306	10	42
1	650	1176	12	32
1	295	1244	12	23
1	452	60	88	3
1	408	61	42	2
1	363	61	44	2
1	544	61	56	2
1	965	878	19	12
1	728	1064	9	20
1	965	1015	21	7
1	240	61	60	2
1	1169	790	5	17
