# Particle Count:	69
# Single Worm Area:	113
# Component Count:	2
# pX	pY	width	height	nWorm	area	label No
1248	141	15	31	2	212	1
1328	142	15	26	1	156	1
1607	202	16	26	1	141	1
1415	233	30	17	1	114	1
1279	238	24	18	1	126	1
1355	251	24	32	1	137	1
807	312	16	31	1	127	1
1301	367	22	12	1	86	1
1388	385	9	35	1	94	1
888	478	17	26	1	133	1
1286	482	12	23	1	129	1
980	518	23	28	1	123	1
1608	521	7	21	1	51	1
1287	534	39	35	3	386	1
1557	537	12	35	1	138	1
1992	571	26	9	1	87	1
1321	582	26	17	1	100	1
1661	601	20	24	1	82	1
1435	616	21	22	1	72	1
1260	619	14	34	1	134	1
1449	631	9	28	1	80	1
1253	633	8	29	1	80	1
1558	638	30	7	1	73	1
1361	651	36	11	1	117	1
1708	656	26	22	1	143	1
1809	657	16	29	1	123	1
1926	658	28	22	2	172	1
1138	683	35	9	1	101	1
1539	684	14	37	1	131	1
1001	690	27	25	1	153	1
1432	698	33	11	1	99	1
1436	725	6	29	1	55	1
1492	732	29	15	1	97	1
1407	740	26	20	1	113	1
1293	741	48	31	3	284	1
1041	746	25	25	1	113	1
1883	755	26	22	1	93	1
866	760	31	18	1	97	1
1182	769	20	19	1	73	1
1369	769	29	16	1	118	1
1012	792	28	15	1	84	1
1509	792	32	12	1	108	1
1464	812	58	34	3	365	1
1360	813	23	13	1	89	1
1062	817	19	14	1	50	1
1106	823	18	31	1	119	1
979	848	28	14	1	86	1
1668	848	27	13	1	93	1
1230	883	22	13	1	96	1
943	896	31	6	1	70	1
1205	899	36	12	1	134	1
1150	916	31	7	1	87	1
1666	926	20	23	1	65	1
1371	933	21	30	2	174	1
1193	940	31	15	1	157	1
1695	946	16	29	1	115	1
1380	950	32	17	1	116	1
1467	963	29	20	1	137	1
1131	986	18	14	1	60	1
256	990	29	27	2	262	1
1298	1004	17	32	1	143	1
1370	1352	9	33	1	109	2
845	1445	18	30	1	166	2
1614	1462	22	10	1	72	2
365	1495	8	27	1	69	2
1231	1505	31	22	1	155	2
1155	1650	10	8	1	53	2
542	1762	31	9	1	96	2
1062	2261	33	23	2	231	2
