# Particle Count:	231
# Single Worm Area:	132
# Component Count:	2
# pX	pY	width	height	nWorm	area	label No
1093	1318	9	8	1	57	2
1469	1319	19	52	2	208	2
1277	1327	24	9	1	101	2
1140	1328	33	12	1	116	2
898	1330	48	26	2	239	2
1005	1330	30	29	5	700	2
1183	1336	19	32	1	176	2
958	1347	44	9	1	148	2
604	1351	20	17	1	135	2
1433	1358	43	19	2	201	2
640	1372	19	45	2	217	2
1253	1374	10	14	1	87	2
1034	1376	35	18	1	112	2
805	1377	22	19	1	92	2
583	1380	25	20	2	219	2
2267	1380	10	12	1	52	2
916	1381	23	37	1	167	2
1326	1382	13	14	1	131	2
1918	1384	22	26	1	119	2
1370	1394	20	33	2	200	2
1604	1394	28	25	1	121	2
1288	1396	16	16	1	125	2
1343	1412	20	15	1	95	2
555	1428	33	25	2	201	2
428	1431	16	34	1	138	2
1128	1435	15	20	1	94	2
1118	1456	13	14	1	59	2
1074	1457	12	10	1	104	2
696	1475	22	36	1	178	2
1532	1477	43	13	1	136	2
1591	1506	14	12	1	129	2
2204	1509	19	33	1	162	2
1329	1513	22	37	1	159	2
1696	1516	24	19	1	117	2
395	1529	12	28	1	64	2
2165	1544	33	21	1	125	2
835	1552	60	24	2	307	2
1200	1554	27	18	1	108	2
367	1560	27	25	1	161	2
1501	1588	37	20	1	136	2
2065	1606	31	15	1	80	2
1477	1607	12	14	1	53	2
858	1609	11	13	1	100	2
1088	1609	28	28	1	111	2
2120	1619	26	29	1	127	2
2011	1650	8	13	1	65	2
580	1654	12	18	1	53	2
1451	1674	28	31	2	200	2
969	1685	17	13	1	64	2
1379	1690	9	18	1	68	2
835	1697	27	33	1	168	2
1087	1712	12	13	1	119	2
2109	1721	26	18	1	94	2
444	1731	18	36	1	145	2
859	1772	23	27	1	148	2
350	1773	47	28	2	327	2
1488	1787	20	20	1	117	2
1768	1793	25	27	1	182	2
1248	1815	8	9	1	54	2
1994	1821	22	22	1	128	2
1418	1832	14	12	1	66	2
933	1837	17	24	1	132	2
1031	1839	34	18	1	162	2
957	1857	24	35	1	192	2
1467	1880	22	41	1	193	2
1326	1883	27	27	2	256	2
1856	1910	23	32	2	224	2
1484	1914	29	25	3	332	2
1706	1915	40	10	1	139	2
1896	1924	36	24	1	193	2
1666	1952	40	15	1	146	2
1600	1973	30	20	1	106	2
544	1999	19	17	1	61	2
1560	2003	16	40	1	129	2
1362	2004	30	27	1	121	2
758	2016	18	15	2	208	2
1176	2029	11	40	1	132	2
1223	2036	38	18	1	185	2
1523	2055	12	40	1	152	2
1477	2114	39	13	1	124	2
1120	2130	22	17	1	84	2
909	2144	20	11	1	110	2
933	2164	43	19	1	172	2
