# Particle Count:	231
# Single Worm Area:	132
# Component Count:	2
# pX	pY	width	height	nWorm	area	label No
1385	136	9	9	1	50	1
1221	139	16	9	1	67	1
778	234	28	48	2	277	1
1536	245	12	42	1	171	1
1212	247	28	31	1	176	1
980	250	12	12	1	106	1
973	268	25	38	2	299	1
759	301	42	21	2	265	1
1510	309	16	28	1	112	1
1058	321	28	23	1	191	1
1435	333	9	10	1	56	1
1807	348	36	24	2	234	1
1176	368	12	42	1	162	1
1406	412	40	17	1	179	1
1674	414	15	47	2	200	1
1386	431	19	27	1	128	1
1881	437	6	15	1	55	1
889	460	21	19	1	102	1
641	463	33	20	2	301	1
1408	466	30	19	1	113	1
774	487	41	25	2	270	1
467	490	10	15	1	92	1
1222	491	26	12	1	126	1
1022	500	26	16	1	150	1
594	501	12	11	1	97	1
1086	501	20	21	1	135	1
1186	526	13	18	1	163	1
1376	536	8	16	1	75	1
1149	540	36	38	2	314	1
1074	548	18	43	1	161	1
1971	552	17	20	1	122	1
996	559	26	22	1	116	1
1231	570	20	14	1	139	1
1114	571	21	16	1	104	1
1441	574	18	14	1	179	1
1632	589	23	18	2	229	1
940	590	10	15	1	100	1
1123	595	22	16	1	107	1
860	597	14	17	1	88	1
1069	597	5	34	1	120	1
1435	608	30	19	1	131	1
1657	610	20	18	1	117	1
941	611	29	20	1	132	1
1141	612	16	27	2	201	1
1472	621	23	32	1	185	1
1636	621	22	35	1	136	1
1673	626	26	13	1	119	1
1343	629	16	18	1	97	1
2092	634	22	26	1	167	1
1002	636	36	26	1	140	1
1292	639	13	30	1	103	1
1501	642	26	36	1	167	1
1262	644	14	14	1	149	1
1031	648	30	10	1	76	1
1075	651	14	16	1	112	1
908	653	16	20	1	89	1
1235	660	16	17	2	199	1
1268	662	23	18	1	124	1
1399	663	25	28	1	125	1
975	669	14	19	1	85	1
1140	685	19	9	1	111	1
1848	689	28	23	1	144	1
1084	692	14	20	1	112	1
1224	701	9	9	1	59	1
616	702	21	18	1	158	1
893	710	20	24	1	81	1
1157	716	19	9	1	50	1
1489	720	20	21	1	89	1
1240	729	13	9	1	87	1
1201	731	17	27	1	142	1
1340	733	18	15	1	96	1
1166	736	29	33	2	285	1
1403	737	21	14	1	89	1
1099	741	12	18	1	127	1
952	752	16	18	1	85	1
1314	771	31	20	1	140	1
1195	772	29	20	1	125	1
1819	774	13	21	1	107	1
934	776	20	18	2	284	1
1251	776	8	19	1	76	1
1332	781	16	19	1	76	1
1988	781	29	12	1	91	1
1138	783	32	16	1	147	1
1367	784	9	42	1	128	1
1072	792	29	14	1	105	1
983	794	31	39	2	251	1
1182	800	13	23	1	125	1
1522	804	21	34	1	172	1
1267	808	16	17	1	121	1
701	809	18	21	1	120	1
1160	809	17	14	1	180	1
1800	816	33	19	1	147	1
444	818	19	10	1	51	1
620	821	14	32	1	168	1
1239	834	26	22	1	187	1
1077	838	16	20	1	87	1
1347	838	40	24	2	232	1
558	841	57	48	3	413	1
1109	841	35	38	2	203	1
1190	846	23	34	2	288	1
2187	860	28	22	2	224	1
832	862	25	18	1	196	1
1902	866	39	15	1	160	1
943	873	25	21	1	114	1
1170	876	12	37	1	158	1
656	877	30	26	1	165	1
1406	886	13	27	1	92	1
1262	887	44	12	2	223	1
472	888	14	18	1	178	1
1119	890	29	19	1	197	1
1050	893	23	15	1	109	1
319	899	23	20	2	208	1
1024	902	13	31	1	97	1
2048	911	27	6	1	52	1
1669	921	17	19	1	92	1
1464	922	36	25	1	174	1
1040	924	35	10	1	95	1
1213	924	13	40	1	163	1
578	930	17	50	3	336	1
859	931	29	13	1	89	1
1261	937	15	19	1	86	1
2238	937	16	27	1	180	1
1343	943	13	18	1	119	1
527	954	22	40	2	215	1
2183	959	19	49	3	340	1
349	962	45	19	1	195	1
1090	970	42	21	1	145	1
248	976	38	17	2	264	1
1483	979	15	35	1	140	1
894	982	25	11	1	95	1
1137	988	15	40	1	155	1
1194	989	36	23	1	163	1
1098	993	21	29	1	151	1
556	996	30	16	1	128	1
1898	997	9	42	1	172	1
1421	998	24	27	1	186	1
258	1006	24	39	2	208	1
986	1009	16	8	1	63	1
1393	1015	16	27	1	78	1
1420	1022	36	30	2	235	1
1623	1025	27	22	1	183	1
1125	1028	19	29	1	113	1
1013	1029	18	17	1	78	1
1143	1033	34	36	2	203	1
1314	1048	25	23	1	157	1
591	1052	7	27	1	72	1
872	1055	20	11	1	125	1
300	1067	11	10	1	83	1
