#Avg trapped time in Control (sec):	84.21101
#Avg trapped time in Experimental (sec):	293.05380
#Escape time in Control (sec):	30
#Escape time in Experimental (sec):	Worms didn't escape the circle
#Time (sec)	Worm Count in Control	Worm Count in Experimental
0	5.034	5.014
2	5.241	4.641
4	5.086	4.683
6	5.500	4.772
8	5.500	4.641
10	5.500	4.338
12	5.500	4.234
14	5.500	4.310
16	5.500	4.476
18	5.500	4.552
20	5.500	4.593
22	5.500	4.331
24	5.500	4.234
26	5.500	4.669
28	5.500	4.586
30	3.365	5.263
32	3.058	5.106
34	2.948	5.074
36	2.578	5.137
38	2.720	5.176
40	2.720	5.153
42	2.397	5.255
44	2.263	5.192
46	2.208	5.208
48	2.035	5.200
50	1.956	5.192
52	2.287	5.271
54	2.334	4.924
56	1.964	4.838
58	2.027	4.680
60	2.043	4.814
62	2.027	4.909
64	1.822	5.050
66	1.594	5.350
68	1.318	5.113
70	1.405	4.917
72	1.641	5.003
74	1.956	5.231
76	1.932	5.090
78	1.712	4.924
80	1.468	4.987
82	1.263	4.720
84	1.224	4.696
86	1.294	4.751
88	1.263	4.649
90	0.937	4.546
92	1.208	4.617
94	0.969	5.082
96	0.984	4.932
98	0.937	4.830
100	0.890	4.877
102	0.976	4.846
104	0.906	5.043
106	0.961	5.224
108	0.929	5.255
110	0.992	5.113
112	0.858	4.917
114	0.937	5.019
116	0.929	4.877
118	0.937	4.554
120	0.969	4.357
122	0.874	4.121
124	0.906	4.302
126	0.929	4.964
128	0.906	4.633
130	0.945	4.759
132	0.992	5.019
134	0.937	5.074
136	0.858	4.877
138	0.921	5.003
140	0.866	4.956
142	0.937	5.011
144	0.835	4.917
146	0.929	4.791
148	0.945	4.948
150	1.239	4.657
152	0.921	4.405
154	0.945	4.381
156	0.945	4.342
158	0.874	4.743
160	0.929	4.972
162	0.992	4.932
164	0.874	4.743
166	0.937	4.665
168	0.953	5.161
170	0.969	4.672
172	1.239	4.948
174	1.224	5.050
176	1.000	5.003
178	0.953	5.121
180	0.921	5.113
182	0.937	4.924
184	0.992	4.767
186	1.239	4.791
188	1.231	4.822
190	0.858	4.909
192	0.890	5.169
194	0.913	5.082
196	0.929	5.255
198	0.913	5.003
200	0.953	4.885
202	0.929	4.972
204	0.898	5.263
206	0.866	5.279
208	0.890	5.216
210	0.921	5.208
212	0.898	5.192
214	0.961	5.224
216	0.929	5.090
218	0.976	5.082
220	0.937	4.806
222	0.835	4.728
224	0.882	5.113
226	0.803	5.137
228	0.850	5.113
230	0.921	4.743
232	0.913	4.806
234	0.701	5.011
236	0.331	4.917
238	0.016	5.106
240	0.016	5.098
242	0.016	5.003
244	0.016	4.861
246	0.016	4.680
248	0.016	4.759
250	0.016	4.641
252	0.016	4.594
254	0.016	4.877
256	0.016	5.145
258	0.016	5.129
260	0.016	4.924
262	0.016	4.861
264	0.016	5.074
266	0.016	5.145
268	0.016	5.121
270	0.016	5.113
272	0.016	5.318
274	0.024	5.476
276	0.016	5.334
278	0.016	5.302
280	0.016	5.302
282	0.016	5.239
284	0.016	5.373
286	0.016	5.176
288	0.024	5.208
290	0.016	5.350
292	0.016	5.153
294	0.016	5.200
296	0.016	5.263
298	0.016	5.153
