#Avg trapped time in Control (sec):	112.26300
#Avg trapped time in Experimental (sec):	296.71320
#Escape time in Control (sec):	34
#Escape time in Experimental (sec):	Worms didn't escape the circle
#Time (sec)	Worm Count in Control	Worm Count in Experimental
0	5.028	5.016
2	5.028	4.810
4	5.500	4.952
6	5.500	4.905
8	5.500	4.849
10	5.500	4.984
12	5.500	5.167
14	5.500	5.198
16	5.500	4.825
18	5.500	4.690
20	5.500	4.698
22	5.500	4.802
24	5.500	4.778
26	5.500	4.825
28	5.500	4.754
30	4.192	5.393
32	4.091	5.376
34	3.881	5.267
36	3.755	5.435
38	3.402	5.166
40	3.242	5.276
42	3.334	5.175
44	3.536	4.763
46	3.461	4.755
48	3.620	4.679
50	3.696	4.939
52	3.687	5.124
54	3.612	5.166
56	3.587	5.124
58	3.721	5.057
60	3.755	5.150
62	3.671	5.024
64	3.570	5.007
66	3.570	4.855
68	3.620	4.914
70	3.519	4.939
72	3.368	5.116
74	3.385	4.939
76	3.494	4.771
78	2.965	4.687
80	2.309	4.746
82	1.595	4.587
84	1.536	4.847
86	1.486	4.998
88	1.376	5.032
90	1.250	4.948
92	1.276	4.839
94	1.225	4.788
96	1.301	4.839
98	1.217	4.729
100	1.225	4.486
102	1.000	4.729
104	1.208	4.477
106	1.234	4.645
108	1.242	4.956
110	1.234	5.108
112	1.259	5.150
114	1.259	5.284
116	1.208	5.284
118	1.234	5.175
120	1.208	5.217
122	0.966	5.066
124	0.983	5.066
126	0.992	5.015
128	0.975	4.897
130	1.208	4.931
132	1.225	4.830
134	1.536	5.032
136	1.637	5.116
138	1.461	5.108
140	1.561	5.217
142	1.662	5.225
144	1.662	5.066
146	1.511	5.074
148	1.477	4.906
150	1.578	4.637
152	1.486	4.612
154	1.469	5.158
156	0.924	5.007
158	0.605	4.889
160	0.479	5.074
162	0.513	4.847
164	0.504	4.881
166	0.504	4.956
168	0.605	4.797
170	0.571	4.973
172	0.756	4.906
174	0.664	4.965
176	0.706	5.158
178	0.647	4.864
180	0.832	4.755
182	0.756	4.494
184	0.504	4.536
186	0.361	4.746
188	0.143	5.024
190	0.059	4.948
192	0.067	4.923
194	0.311	4.813
196	0.437	4.545
198	0.546	4.318
200	0.807	4.570
202	1.234	4.948
204	1.637	5.242
206	1.637	5.519
208	1.603	5.393
210	1.620	5.385
212	1.612	5.292
214	1.771	5.192
216	1.486	4.965
218	1.217	5.108
220	0.714	5.099
222	0.672	5.099
224	0.681	5.183
226	0.655	5.049
228	0.681	5.242
230	0.874	5.091
232	1.427	5.158
234	1.738	5.284
236	1.797	5.158
238	1.797	5.007
240	1.788	5.082
242	1.671	4.923
244	1.217	4.696
246	0.706	4.973
248	0.706	5.326
250	0.647	5.066
252	0.647	5.108
254	0.597	5.276
256	0.647	5.234
258	0.706	5.301
260	0.655	5.024
262	0.681	4.965
264	0.647	4.939
266	0.613	4.973
268	0.664	5.158
270	0.655	4.830
272	0.681	4.755
274	0.706	4.948
276	0.714	5.427
278	0.739	5.351
280	0.714	5.267
282	0.782	4.982
284	0.739	5.150
286	0.706	5.074
288	0.689	5.057
290	0.697	5.158
292	0.697	5.192
294	0.706	5.217
296	0.706	5.116
298	0.655	5.200
