# File saved at:	Fri Oct 18 16:19:40 CDT 2013
# Egg count:	267
# Automated counting:	Done
# Manual inspection:	Done
# pX	pY	width	height	nEgg	probability	method
1518	1932	34	18	7	342	Automated counting
1432	1490	28	26	5	292	Automated counting
1330	961	29	25	4	258	Automated counting
1545	1266	22	22	4	230	Automated counting
1456	2118	15	25	4	225	Automated counting
1656	1968	23	16	4	211	Automated counting
1753	1842	19	16	4	212	Automated counting
1479	1968	26	11	4	208	Automated counting
1740	2435	20	29	3	177	Automated counting
1015	1881	13	24	3	205	Automated counting
793	2087	18	17	3	144	Automated counting
1307	2020	23	13	3	165	Automated counting
1684	1694	13	20	3	167	Automated counting
1650	1952	19	13	3	152	Automated counting
1335	1465	13	18	3	178	Automated counting
1648	1921	10	22	3	152	Automated counting
1699	2044	10	22	3	159	Automated counting
1317	1999	18	12	3	152	Automated counting
1583	1934	13	16	3	136	Automated counting
1281	1570	11	18	3	148	Automated counting
1614	2145	14	14	3	139	Automated counting
1070	1902	23	17	2	142	Automated counting
2125	536	19	16	2	99	Automated counting
1159	1771	16	17	2	111	Automated counting
1658	1598	17	15	2	122	Automated counting
1389	1404	14	18	2	153	Automated counting
1731	1626	13	19	2	139	Automated counting
1429	1465	17	13	2	136	Automated counting
968	1628	17	13	2	126	Automated counting
1170	1980	14	15	2	121	Automated counting
1662	1833	13	16	2	118	Automated counting
1211	2359	14	14	2	109	Automated counting
909	2056	15	13	2	128	Automated counting
1055	1896	16	12	2	104	Automated counting
1605	2176	12	16	2	115	Automated counting
938	2028	16	12	2	118	Automated counting
1415	1231	17	11	2	139	Automated counting
1612	1494	17	11	2	136	Automated counting
1607	2127	13	14	2	106	Automated counting
1578	1575	15	12	2	140	Automated counting
1615	1981	11	16	2	103	Automated counting
1466	2163	10	16	2	109	Automated counting
995	2118	10	16	2	107	Automated counting
1471	2096	12	13	2	99	Automated counting
1599	1520	11	14	2	132	Automated counting
1631	1837	15	10	2	107	Automated counting
1545	1963	9	16	2	100	Automated counting
1564	1665	11	13	2	105	Automated counting
1623	1797	13	11	2	101	Automated counting
1237	1810	8	17	2	111	Automated counting
1470	1430	17	8	2	114	Automated counting
1592	1901	8	17	2	108	Automated counting
1649	1717	17	8	2	120	Automated counting
1335	1921	11	12	2	94	Automated counting
1257	1978	8	16	2	106	Automated counting
1434	1876	8	16	2	107	Automated counting
1582	1860	11	11	2	107	Automated counting
1564	1740	10	12	2	98	Automated counting
1318	1715	7	16	2	100	Automated counting
1341	1910	14	8	2	88	Automated counting
1431	1834	10	11	2	95	Automated counting
1311	1847	8	13	2	90	Automated counting
1084	1533	10	12	1	92	Automated counting
1150	1490	10	11	1	85	Automated counting
1401	1379	10	10	1	78	Automated counting
1044	1865	11	9	1	80	Automated counting
2072	1516	7	13	1	74	Automated counting
1199	1401	9	10	1	69	Automated counting
1649	1548	10	9	1	66	Automated counting
1851	1358	10	9	1	69	Automated counting
1007	1922	11	8	1	76	Automated counting
1040	1676	11	8	1	71	Automated counting
1138	1643	8	11	1	69	Automated counting
1367	1266	11	8	1	66	Automated counting
1419	1524	11	8	1	65	Automated counting
1083	1961	9	9	1	62	Automated counting
1123	1541	9	9	1	62	Automated counting
1315	1292	9	9	1	60	Automated counting
1474	1408	9	9	1	67	Automated counting
1746	1481	9	9	1	65	Automated counting
1205	1416	10	8	1	65	Automated counting
1225	1394	8	10	1	63	Automated counting
1428	1658	10	8	1	58	Automated counting
1579	1415	10	8	1	65	Automated counting
882	1244	10	8	1	68	Automated counting
1010	1555	7	11	1	69	Automated counting
1013	1799	8	9	1	60	Automated counting
1093	2016	8	9	1	61	Automated counting
1099	1986	8	9	1	57	Automated counting
1176	2090	9	8	1	59	Automated counting
1243	1746	9	8	1	59	Automated counting
1309	1682	8	9	1	53	Automated counting
1318	1387	8	9	1	60	Automated counting
1335	1662	9	8	1	62	Automated counting
1394	2169	9	8	1	58	Automated counting
1417	1456	9	8	1	58	Automated counting
1460	1486	8	9	1	59	Automated counting
1462	1339	9	8	1	62	Automated counting
1473	1607	8	9	1	55	Automated counting
1507	1425	9	8	1	62	Automated counting
1516	1416	9	8	1	59	Automated counting
1528	1890	8	9	1	57	Automated counting
1538	1289	8	9	1	62	Automated counting
1561	1878	9	8	1	59	Automated counting
1592	1688	8	9	1	57	Automated counting
1611	2163	9	8	1	56	Automated counting
1618	1828	8	9	1	54	Automated counting
1638	1696	9	8	1	62	Automated counting
1706	1894	9	8	1	55	Automated counting
1810	1999	9	8	1	60	Automated counting
989	1927	9	8	1	58	Automated counting
1127	2097	7	10	1	61	Automated counting
1181	1972	7	10	1	56	Automated counting
1319	1655	10	7	1	60	Automated counting
1359	1771	7	10	1	57	Automated counting
1392	1513	10	7	1	64	Automated counting
1587	1999	10	7	1	58	Automated counting
1601	1696	10	7	1	60	Automated counting
1617	1693	10	7	1	56	Automated counting
1679	1935	7	10	1	62	Automated counting
619	1752	7	10	1	47	Automated counting
1590	1441	11	6	1	51	Automated counting
1020	1960	8	8	1	53	Automated counting
1116	1701	8	8	1	54	Automated counting
1198	1957	8	8	1	58	Automated counting
1288	2417	8	8	1	52	Automated counting
1290	1903	8	8	1	48	Automated counting
1446	1957	8	8	1	51	Automated counting
1706	1781	8	8	1	53	Automated counting
1149	1827	7	9	1	50	Automated counting
1155	2052	7	9	1	55	Automated counting
1158	1390	9	7	1	55	Automated counting
1224	1911	9	7	1	53	Automated counting
1272	1441	7	9	1	52	Automated counting
1448	1562	9	7	1	61	Automated counting
1459	1796	9	7	1	54	Automated counting
1470	1989	9	7	1	52	Automated counting
1476	1690	9	7	1	53	Automated counting
1477	1472	7	9	1	58	Automated counting
1487	2060	9	7	1	50	Automated counting
1513	1973	9	7	1	51	Automated counting
1545	2151	7	9	1	51	Automated counting
1564	1943	9	7	1	54	Automated counting
1584	1651	9	7	1	55	Automated counting
1590	1452	7	9	1	57	Automated counting
1596	2111	7	9	1	50	Automated counting
1600	1570	7	9	1	49	Automated counting
1625	2166	9	7	1	56	Automated counting
1626	1783	9	7	1	55	Automated counting
1668	1894	7	9	1	55	Automated counting
1683	1868	7	9	1	58	Automated counting
1734	2000	7	9	1	53	Automated counting
1790	1458	9	7	1	59	Automated counting
1791	1757	9	7	1	56	Automated counting
888	1303	7	9	1	52	Automated counting
1479	1758	6	10	1	53	Automated counting
1175	2073	8	7	1	50	Automated counting
1271	2066	7	8	1	51	Automated counting
1281	1874	8	7	1	44	Automated counting
1315	1750	7	8	1	44	Automated counting
1449	2147	8	7	1	48	Automated counting
1460	2199	8	7	1	42	Automated counting
1571	1768	7	8	1	48	Automated counting
1086	2060	9	6	1	51	Automated counting
1327	1805	9	6	1	42	Automated counting
1422	2181	6	9	1	50	Automated counting
1480	1946	6	9	1	53	Automated counting
1642	1950	6	9	1	52	Automated counting
1729	1927	6	9	1	54	Automated counting
1307	2007	7	7	1	38	Automated counting
1976	1162	8	6	1	29	Automated counting
1757	1188	6	7	1	36	Automated counting
