# File saved at:	Fri Oct 18 16:21:53 CDT 2013
# Egg count:	411
# Automated counting:	Done
# Manual inspection:	Done
# pX	pY	width	height	nEgg	probability	method
1759	1943	23	25	7	345	Automated counting
1344	2586	20	26	5	249	Automated counting
728	2340	15	29	5	283	Automated counting
1888	2325	22	26	4	196	Automated counting
1767	1927	29	13	4	223	Automated counting
1227	2062	20	17	4	189	Automated counting
1637	1740	30	11	4	189	Automated counting
1684	1822	12	27	4	183	Automated counting
2188	1894	15	21	4	209	Automated counting
1703	1655	15	17	4	187	Automated counting
1839	1930	16	24	3	173	Automated counting
1360	2304	22	16	3	143	Automated counting
1156	1523	14	22	3	170	Automated counting
1497	1736	18	16	3	169	Automated counting
684	2213	10	28	3	139	Automated counting
1636	1686	16	17	3	139	Automated counting
1523	2062	11	22	3	160	Automated counting
1335	1429	24	10	3	121	Automated counting
2214	1823	13	18	3	146	Automated counting
1084	2190	11	21	3	135	Automated counting
1282	1587	19	12	3	151	Automated counting
1256	2106	11	20	3	135	Automated counting
1343	2277	13	15	3	157	Automated counting
1434	1541	15	13	3	130	Automated counting
1519	2015	13	15	3	125	Automated counting
1713	1975	16	12	3	129	Automated counting
1856	1800	12	16	3	130	Automated counting
1163	1977	10	17	3	135	Automated counting
1452	2181	18	9	3	130	Automated counting
1967	2360	13	21	2	104	Automated counting
1993	2317	13	18	2	82	Automated counting
1190	2306	13	16	2	113	Automated counting
1219	2141	13	16	2	126	Automated counting
1240	2172	13	16	2	127	Automated counting
1265	2053	13	16	2	121	Automated counting
1255	2032	12	17	2	102	Automated counting
1311	1926	17	12	2	107	Automated counting
1518	1751	14	14	2	95	Automated counting
1222	2361	12	16	2	107	Automated counting
1661	1642	9	21	2	86	Automated counting
1207	1612	12	15	2	122	Automated counting
1316	1737	12	15	2	112	Automated counting
1287	1620	13	13	2	84	Automated counting
1644	1511	13	13	2	120	Automated counting
1354	2108	14	12	2	117	Automated counting
1132	1748	15	11	2	94	Automated counting
1357	1891	15	11	2	110	Automated counting
1430	2226	10	16	2	97	Automated counting
1626	1576	10	16	2	85	Automated counting
1265	1508	13	12	2	110	Automated counting
2001	1625	12	13	2	83	Automated counting
1368	1870	11	14	2	108	Automated counting
1212	2351	10	15	2	100	Automated counting
1392	1504	15	10	2	91	Automated counting
1669	1735	10	15	2	122	Automated counting
1380	1907	12	12	2	85	Automated counting
1718	1843	9	16	2	92	Automated counting
1221	2246	11	13	2	91	Automated counting
1474	1731	13	11	2	90	Automated counting
1531	2000	13	11	2	90	Automated counting
1026	2291	14	10	2	113	Automated counting
1098	1511	10	14	2	85	Automated counting
1117	2289	10	14	2	95	Automated counting
1902	1559	10	14	2	112	Automated counting
1802	2075	9	15	2	83	Automated counting
1831	1697	9	15	2	95	Automated counting
886	1754	9	15	2	88	Automated counting
896	2089	15	9	2	90	Automated counting
1427	2044	11	12	2	85	Automated counting
1519	2126	12	11	2	85	Automated counting
1598	1764	12	11	2	86	Automated counting
1765	2149	11	12	2	103	Automated counting
1578	2113	13	10	2	107	Automated counting
1469	1707	16	8	2	87	Automated counting
1484	2229	8	16	2	90	Automated counting
1603	2324	8	16	2	98	Automated counting
1657	1845	9	14	2	96	Automated counting
1394	1728	8	15	2	83	Automated counting
899	1779	12	10	2	84	Automated counting
1110	1968	17	7	2	89	Automated counting
1272	1554	7	17	2	98	Automated counting
1528	1682	16	7	2	87	Automated counting
1753	1891	8	14	2	86	Automated counting
1762	2124	11	10	2	87	Automated counting
1184	1552	9	12	2	86	Automated counting
1299	2349	9	12	2	93	Automated counting
1437	2210	12	9	2	83	Automated counting
1115	1543	13	8	2	85	Automated counting
1497	1855	10	10	2	81	Automated counting
1129	2135	9	11	2	88	Automated counting
1520	1813	9	11	2	82	Automated counting
1535	2122	10	9	2	76	Automated counting
1234	1699	11	9	1	77	Automated counting
1587	2083	9	11	1	74	Automated counting
1093	1984	10	9	1	77	Automated counting
720	1281	10	9	1	75	Automated counting
951	1600	9	10	1	78	Automated counting
945	1536	11	8	1	77	Automated counting
1255	2161	9	9	1	72	Automated counting
1002	2319	9	8	1	58	Automated counting
1105	1921	8	9	1	53	Automated counting
1249	1992	8	9	1	27	Automated counting
1702	2272	9	8	1	51	Automated counting
1726	2287	9	8	1	53	Automated counting
1068	2351	7	10	1	55	Automated counting
1824	1457	10	7	1	52	Automated counting
676	2019	7	10	1	65	Automated counting
985	2309	10	7	1	63	Automated counting
1002	2306	8	8	1	51	Automated counting
1099	1540	8	8	1	48	Automated counting
1227	2012	8	8	1	47	Automated counting
1370	1570	8	8	1	45	Automated counting
1373	2253	8	8	1	46	Automated counting
1463	2211	8	8	1	47	Automated counting
1727	1895	8	8	1	47	Automated counting
1080	2296	9	7	1	49	Automated counting
1163	2234	7	9	1	46	Automated counting
1262	2362	9	7	1	36	Automated counting
1265	1470	9	7	1	47	Automated counting
1306	2233	9	7	1	46	Automated counting
1319	1592	7	9	1	43	Automated counting
1321	2234	9	7	1	51	Automated counting
1339	1977	7	9	1	46	Automated counting
1363	2128	9	7	1	46	Automated counting
1432	2310	7	9	1	51	Automated counting
1449	2300	9	7	1	47	Automated counting
1476	1446	9	7	1	49	Automated counting
1527	2317	7	9	1	46	Automated counting
1660	1880	9	7	1	47	Automated counting
1731	1589	7	9	1	47	Automated counting
1794	1504	9	7	1	50	Automated counting
1804	1929	9	7	1	50	Automated counting
1806	1618	7	9	1	49	Automated counting
1820	1793	9	7	1	48	Automated counting
1823	1901	7	9	1	49	Automated counting
1825	1565	7	9	1	50	Automated counting
2115	1964	7	9	1	51	Automated counting
784	1921	7	9	1	51	Automated counting
785	1948	7	9	1	51	Automated counting
828	1518	9	7	1	48	Automated counting
880	1843	7	9	1	50	Automated counting
948	1981	7	9	1	44	Automated counting
953	1839	7	9	1	48	Automated counting
963	1464	7	9	1	50	Automated counting
981	1886	9	7	1	46	Automated counting
1273	2222	6	10	1	46	Automated counting
1295	1508	10	6	1	46	Automated counting
1396	1797	6	10	1	45	Automated counting
1536	1644	6	10	1	47	Automated counting
1739	1836	10	6	1	52	Automated counting
928	1865	6	10	1	52	Automated counting
1018	2158	7	8	1	43	Automated counting
1045	2276	7	8	1	44	Automated counting
1047	1538	8	7	1	44	Automated counting
1074	1865	7	8	1	41	Automated counting
1079	1738	7	8	1	44	Automated counting
1104	2189	7	8	1	48	Automated counting
1124	1652	7	8	1	42	Automated counting
