# File saved at:	Fri Oct 18 16:21:53 CDT 2013
# Egg count:	411
# Automated counting:	Done
# Manual inspection:	Done
# pX	pY	width	height	nEgg	probability	method
1124	1777	7	8	1	43	Automated counting
1141	2086	7	8	1	42	Automated counting
1169	2296	7	8	1	44	Automated counting
1178	2275	7	8	1	45	Automated counting
1185	1631	8	7	1	44	Automated counting
1323	1648	8	7	1	44	Automated counting
1349	2092	7	8	1	41	Automated counting
1355	1910	8	7	1	42	Automated counting
1359	2093	8	7	1	45	Automated counting
1407	1349	7	8	1	43	Automated counting
1427	1681	7	8	1	44	Automated counting
1443	1387	7	8	1	42	Automated counting
1448	2241	8	7	1	46	Automated counting
1451	1737	8	7	1	43	Automated counting
1463	1862	7	8	1	43	Automated counting
1481	1921	7	8	1	45	Automated counting
1491	1512	8	7	1	46	Automated counting
1506	1359	8	7	1	41	Automated counting
1560	2293	8	7	1	44	Automated counting
1573	2102	8	7	1	39	Automated counting
1621	2237	7	8	1	39	Automated counting
1641	1833	7	8	1	45	Automated counting
1668	1891	8	7	1	46	Automated counting
1683	1799	7	8	1	44	Automated counting
1687	1788	8	7	1	45	Automated counting
1712	1886	8	7	1	43	Automated counting
1713	2084	7	8	1	40	Automated counting
1745	2041	7	8	1	39	Automated counting
1770	2377	8	7	1	36	Automated counting
1771	1852	7	8	1	44	Automated counting
1792	1431	7	8	1	40	Automated counting
1801	1728	7	8	1	44	Automated counting
1808	1738	7	8	1	44	Automated counting
1843	1631	8	7	1	44	Automated counting
1853	1716	8	7	1	46	Automated counting
1880	1666	7	8	1	45	Automated counting
1902	1514	8	7	1	51	Automated counting
826	1872	8	7	1	47	Automated counting
859	1510	7	8	1	45	Automated counting
882	2143	8	7	1	50	Automated counting
935	2017	8	7	1	42	Automated counting
940	1283	7	8	1	38	Automated counting
946	1482	7	8	1	44	Automated counting
977	1926	8	7	1	44	Automated counting
999	1561	8	7	1	39	Automated counting
1034	1684	9	6	1	45	Automated counting
1079	1698	9	6	1	43	Automated counting
1100	2212	6	9	1	45	Automated counting
1124	1721	6	9	1	44	Automated counting
1130	1705	6	9	1	43	Automated counting
1135	1449	9	6	1	45	Automated counting
1153	1626	9	6	1	44	Automated counting
1187	1503	9	6	1	44	Automated counting
1218	2131	6	9	1	46	Automated counting
1228	1640	6	9	1	43	Automated counting
1247	2156	9	6	1	43	Automated counting
1249	1940	9	6	1	47	Automated counting
1300	2067	9	6	1	45	Automated counting
1311	2111	9	6	1	43	Automated counting
1333	2032	6	9	1	45	Automated counting
1367	1852	6	9	1	42	Automated counting
1383	1366	9	6	1	42	Automated counting
1386	2046	9	6	1	41	Automated counting
1400	1564	6	9	1	44	Automated counting
1406	1489	6	9	1	48	Automated counting
1459	2250	9	6	1	45	Automated counting
1460	1810	6	9	1	45	Automated counting
1465	1394	9	6	1	41	Automated counting
1588	1907	9	6	1	41	Automated counting
1632	1504	9	6	1	46	Automated counting
1686	1723	9	6	1	47	Automated counting
1701	1606	6	9	1	44	Automated counting
1778	1410	6	9	1	38	Automated counting
1858	1632	6	9	1	45	Automated counting
1885	1859	6	9	1	49	Automated counting
1982	1904	6	9	1	44	Automated counting
767	1921	9	6	1	46	Automated counting
841	2004	6	9	1	44	Automated counting
917	1776	9	6	1	44	Automated counting
923	2071	6	9	1	44	Automated counting
939	1391	6	9	1	45	Automated counting
957	1570	9	6	1	46	Automated counting
993	1606	6	9	1	45	Automated counting
1253	1558	7	7	1	43	Automated counting
1263	1943	7	7	1	43	Automated counting
1281	1518	7	7	1	39	Automated counting
1281	1653	7	7	1	35	Automated counting
1304	1733	7	7	1	38	Automated counting
1328	1545	7	7	1	40	Automated counting
1525	2115	7	7	1	42	Automated counting
1552	1316	7	7	1	35	Automated counting
1575	1184	7	7	1	35	Automated counting
1610	1373	7	7	1	39	Automated counting
1671	1863	7	7	1	42	Automated counting
1716	1170	7	7	1	39	Automated counting
680	2188	7	7	1	31	Automated counting
983	2036	7	7	1	37	Automated counting
1039	1656	8	6	1	40	Automated counting
1112	1747	6	8	1	42	Automated counting
1158	1832	6	8	1	34	Automated counting
1282	1444	6	8	1	43	Automated counting
1290	2009	8	6	1	41	Automated counting
1295	2135	8	6	1	41	Automated counting
1330	2104	8	6	1	44	Automated counting
1339	1898	6	8	1	34	Automated counting
1366	1905	8	6	1	39	Automated counting
1383	1752	8	6	1	31	Automated counting
1439	2069	6	8	1	42	Automated counting
1451	1514	6	8	1	42	Automated counting
1451	1908	8	6	1	40	Automated counting
1474	2042	8	6	1	40	Automated counting
1627	2091	8	6	1	38	Automated counting
1640	2262	6	8	1	39	Automated counting
1681	1448	8	6	1	40	Automated counting
943	2047	8	6	1	36	Automated counting
1506	2155	7	6	1	37	Automated counting
1567	1913	7	6	1	32	Automated counting
