# File saved at:	Fri Oct 18 16:21:30 CDT 2013
# Egg count:	240
# Automated counting:	Done
# Manual inspection:	Done
# pX	pY	width	height	nEgg	probability	method
2533	2480	26	28	5	288	Automated counting
2332	1260	29	23	5	257	Automated counting
2423	1441	25	21	5	268	Automated counting
1949	1243	25	27	4	208	Automated counting
2800	1960	32	21	4	231	Automated counting
1982	2455	34	19	4	204	Automated counting
2683	2332	25	25	4	217	Automated counting
2398	1250	21	27	4	242	Automated counting
2471	1929	16	33	4	192	Automated counting
1683	1828	29	17	4	183	Automated counting
1591	1887	17	28	4	197	Automated counting
2450	1343	22	20	4	213	Automated counting
1583	2304	34	12	4	211	Automated counting
2518	1465	18	20	4	198	Automated counting
1981	1754	21	17	4	229	Automated counting
2517	2151	14	23	4	216	Automated counting
2538	1441	20	15	4	197	Automated counting
1864	2197	15	19	4	222	Automated counting
2348	2590	29	24	3	194	Automated counting
2413	1937	21	24	3	166	Automated counting
1931	2106	22	22	3	160	Automated counting
2511	1567	27	14	3	148	Automated counting
2370	1562	23	13	3	176	Automated counting
1990	1492	13	20	3	154	Automated counting
2588	1463	16	14	3	164	Automated counting
2431	1776	13	16	3	168	Automated counting
2698	1505	10	20	3	155	Automated counting
2380	2504	16	22	2	104	Automated counting
2490	2298	17	17	2	110	Automated counting
2706	2084	14	17	2	92	Automated counting
2490	1564	13	18	2	125	Automated counting
1315	2062	14	16	2	134	Automated counting
2482	2466	13	17	2	136	Automated counting
2389	1426	16	12	2	103	Automated counting
2566	1123	16	12	2	100	Automated counting
1653	1287	12	15	2	100	Automated counting
1693	2017	12	15	2	87	Automated counting
2575	1503	16	11	2	100	Automated counting
2322	2413	19	9	2	128	Automated counting
1435	1870	10	17	2	118	Automated counting
2396	1626	17	10	2	105	Automated counting
2400	1401	14	12	2	129	Automated counting
2676	2354	14	12	2	113	Automated counting
2271	2552	18	9	2	96	Automated counting
2705	1369	18	9	2	85	Automated counting
2372	2202	16	10	2	105	Automated counting
1490	2055	12	13	2	127	Automated counting
1639	1934	12	13	2	85	Automated counting
1687	2050	13	12	2	97	Automated counting
1745	1423	11	14	2	87	Automated counting
2339	2299	10	15	2	116	Automated counting
1927	1615	12	12	2	110	Automated counting
2307	1554	14	10	2	98	Automated counting
2573	2583	15	9	2	104	Automated counting
1710	2535	12	11	2	86	Automated counting
2613	1520	11	12	2	100	Automated counting
2095	1974	8	16	2	98	Automated counting
2446	1460	11	11	2	93	Automated counting
1794	1358	12	10	2	91	Automated counting
2054	1482	10	12	2	91	Automated counting
2395	1308	10	12	2	99	Automated counting
2109	1370	11	10	2	82	Automated counting
2167	1610	12	9	2	86	Automated counting
1882	1326	12	9	1	65	Automated counting
2561	1447	10	9	1	67	Automated counting
2961	1636	10	9	1	69	Automated counting
3031	1608	9	10	1	68	Automated counting
2003	1441	9	9	1	70	Automated counting
2354	2314	9	9	1	58	Automated counting
1676	1602	7	11	1	32	Automated counting
2281	1432	11	7	1	65	Automated counting
1854	1561	9	8	1	51	Automated counting
2036	1412	9	8	1	53	Automated counting
2292	2270	9	8	1	52	Automated counting
2490	2183	9	8	1	58	Automated counting
2005	1412	7	10	1	52	Automated counting
2394	2391	10	7	1	56	Automated counting
2610	1699	10	7	1	54	Automated counting
1835	1452	8	8	1	50	Automated counting
1934	1656	8	8	1	51	Automated counting
2215	2159	8	8	1	47	Automated counting
2269	1272	8	8	1	50	Automated counting
2279	1167	8	8	1	52	Automated counting
2312	1533	8	8	1	48	Automated counting
2321	2284	8	8	1	56	Automated counting
2357	1551	8	8	1	48	Automated counting
2394	1866	8	8	1	52	Automated counting
1424	1858	9	7	1	46	Automated counting
1841	1651	7	9	1	48	Automated counting
1923	2471	7	9	1	54	Automated counting
2022	1401	7	9	1	52	Automated counting
2075	1377	7	9	1	53	Automated counting
2091	2330	9	7	1	52	Automated counting
2240	1413	9	7	1	50	Automated counting
2240	1573	7	9	1	49	Automated counting
2243	1470	9	7	1	49	Automated counting
2263	1189	9	7	1	53	Automated counting
2382	1499	9	7	1	51	Automated counting
2415	1606	7	9	1	55	Automated counting
2434	1242	7	9	1	55	Automated counting
2461	2018	9	7	1	54	Automated counting
2462	2156	7	9	1	57	Automated counting
2578	1547	9	7	1	55	Automated counting
2627	1745	9	7	1	52	Automated counting
2673	2137	9	7	1	52	Automated counting
2702	1941	7	9	1	48	Automated counting
1975	2135	7	8	1	47	Automated counting
2008	1788	7	8	1	45	Automated counting
2180	2391	8	7	1	49	Automated counting
2201	2186	8	7	1	49	Automated counting
2239	1393	7	8	1	46	Automated counting
2288	1622	8	7	1	48	Automated counting
2323	2166	8	7	1	26	Automated counting
2349	1609	8	7	1	51	Automated counting
2401	2404	8	7	1	45	Automated counting
2561	1091	8	7	1	44	Automated counting
2708	1330	8	7	1	46	Automated counting
2709	1774	8	7	1	49	Automated counting
2106	1710	6	9	1	48	Automated counting
2156	2155	6	9	1	46	Automated counting
2278	1686	9	6	1	50	Automated counting
2280	1271	9	6	1	51	Automated counting
2304	1758	6	9	1	49	Automated counting
2356	1369	6	9	1	49	Automated counting
2357	1326	9	6	1	50	Automated counting
2586	2091	6	9	1	47	Automated counting
2653	1519	6	9	1	49	Automated counting
2561	2594	8	6	1	40	Automated counting
1904	704	6	7	1	30	Automated counting
