# File saved at:	Fri Oct 18 16:18:53 CDT 2013
# Egg count:	174
# Automated counting:	Done
# Manual inspection:	Done
# pX	pY	width	height	nEgg	probability	method
2018	2632	32	25	4	233	Automated counting
2299	1225	24	29	4	203	Automated counting
2546	2023	13	32	4	198	Automated counting
2516	1534	18	20	4	223	Automated counting
2085	1921	20	20	3	175	Automated counting
1488	2053	22	17	3	164	Automated counting
1881	1041	18	18	3	148	Automated counting
2364	1629	13	24	3	188	Automated counting
2404	1708	15	19	3	154	Automated counting
2000	1170	18	15	3	151	Automated counting
2411	2629	18	14	3	191	Automated counting
2724	1793	10	19	3	146	Automated counting
2483	2093	11	17	3	145	Automated counting
1368	1785	18	19	2	122	Automated counting
2031	2006	17	18	2	131	Automated counting
1533	1786	16	18	2	125	Automated counting
1903	2069	12	20	2	114	Automated counting
2397	1921	16	12	2	89	Automated counting
2491	1567	14	13	2	103	Automated counting
2511	1423	14	13	2	102	Automated counting
1995	1448	12	15	2	123	Automated counting
2223	1640	12	15	2	95	Automated counting
2435	1744	12	15	2	95	Automated counting
2760	2044	12	15	2	95	Automated counting
2476	2325	11	16	2	111	Automated counting
1281	1529	17	10	2	127	Automated counting
2380	1954	10	17	2	88	Automated counting
2713	1518	13	13	2	119	Automated counting
2495	1902	14	12	2	104	Automated counting
1633	1416	15	11	2	99	Automated counting
1850	1819	13	12	2	96	Automated counting
1797	1770	16	9	2	96	Automated counting
2508	1298	11	13	2	104	Automated counting
2534	1625	10	14	2	100	Automated counting
1904	1886	15	9	2	111	Automated counting
1148	1881	11	12	2	94	Automated counting
2298	1878	11	12	2	92	Automated counting
2328	1371	13	10	2	94	Automated counting
1938	1159	16	8	2	100	Automated counting
1711	1767	14	9	2	101	Automated counting
1748	1752	14	9	2	100	Automated counting
2696	1948	11	11	2	95	Automated counting
1899	1426	8	13	2	89	Automated counting
2235	1833	10	10	1	68	Automated counting
2573	1390	11	9	1	74	Automated counting
1557	2341	9	10	1	75	Automated counting
2229	1393	8	9	1	51	Automated counting
2293	1253	9	8	1	52	Automated counting
2299	2096	9	8	1	48	Automated counting
2352	1459	9	8	1	55	Automated counting
2381	1125	8	9	1	52	Automated counting
1674	1770	10	7	1	56	Automated counting
2493	1922	7	10	1	55	Automated counting
1881	1595	8	8	1	47	Automated counting
2315	1281	8	8	1	46	Automated counting
2465	1989	8	8	1	49	Automated counting
2528	1459	8	8	1	50	Automated counting
2674	2040	8	8	1	46	Automated counting
2696	1556	8	8	1	54	Automated counting
1239	1740	7	9	1	48	Automated counting
1455	1820	9	7	1	51	Automated counting
1544	1229	9	7	1	51	Automated counting
1824	1714	7	9	1	50	Automated counting
1849	1788	7	9	1	47	Automated counting
1869	1393	9	7	1	51	Automated counting
1893	1663	9	7	1	50	Automated counting
2026	1706	9	7	1	47	Automated counting
2186	1515	7	9	1	46	Automated counting
2227	1716	7	9	1	47	Automated counting
2262	1658	9	7	1	46	Automated counting
2272	1261	7	9	1	51	Automated counting
2272	1335	7	9	1	49	Automated counting
2375	1618	7	9	1	48	Automated counting
2382	1996	7	9	1	51	Automated counting
2394	2169	7	9	1	48	Automated counting
2401	1574	7	9	1	47	Automated counting
2447	1512	7	9	1	47	Automated counting
2469	2187	9	7	1	54	Automated counting
2474	1119	7	9	1	50	Automated counting
2500	1616	7	9	1	51	Automated counting
2509	1591	7	9	1	49	Automated counting
2535	1472	9	7	1	54	Automated counting
2565	1562	9	7	1	52	Automated counting
2600	1598	7	9	1	51	Automated counting
2330	1328	10	6	1	52	Automated counting
2370	1522	10	6	1	48	Automated counting
2448	1500	6	10	1	50	Automated counting
1511	1486	8	7	1	43	Automated counting
1680	1175	8	7	1	48	Automated counting
1770	1599	8	7	1	45	Automated counting
1784	2139	7	8	1	47	Automated counting
1805	2176	8	7	1	46	Automated counting
1879	1706	7	8	1	47	Automated counting
1881	1636	7	8	1	45	Automated counting
1987	1780	8	7	1	42	Automated counting
2169	2347	8	7	1	47	Automated counting
2184	2354	7	8	1	50	Automated counting
2230	1700	7	8	1	47	Automated counting
2235	1484	7	8	1	45	Automated counting
2265	1748	7	8	1	48	Automated counting
2275	2264	7	8	1	50	Automated counting
2364	1398	8	7	1	45	Automated counting
2397	1804	7	8	1	45	Automated counting
2447	1569	7	8	1	45	Automated counting
2506	1562	8	7	1	48	Automated counting
2576	1450	7	8	1	44	Automated counting
2581	1286	7	8	1	43	Automated counting
2591	1334	8	7	1	39	Automated counting
2694	2027	7	8	1	44	Automated counting
1979	1419	6	9	1	47	Automated counting
2186	1398	9	6	1	47	Automated counting
2462	1977	6	9	1	48	Automated counting
2479	1289	9	6	1	52	Automated counting
2579	2095	8	6	1	44	Automated counting
