totalLiveWorms=81
Inspected-by-human
#Date: Fri Oct 18 15:27:51 CDT 2013
#lifespan-assay-software-version: 10/18/2013
#worm-details:
#nLive	X	Y	Width	Height
1	635	480	109	39
1	719	519	88	29
1	51	1273	38	106
1	1542	1013	52	55
1	1118	528	63	39
1	1156	505	24	26
1	1350	1384	47	52
1	608	979	37	53
1	1410	1346	36	49
1	1210	1000	33	52
1	436	976	39	43
1	671	1705	41	39
1	594	1232	45	35
1	1267	1321	36	43
1	248	1245	18	81
1	260	1225	6	18
1	244	1246	11	22
1	239	1266	12	49
1	649	550	39	36
1	640	584	14	22
1	640	607	8	20
1	644	607	26	51
1	767	571	23	60
1	839	480	44	31
1	805	480	46	27
1	1157	760	28	47
1	1001	522	45	28
1	1045	500	23	26
1	1028	543	67	17
1	1036	756	29	40
1	1056	744	18	47
1	495	642	44	26
1	261	760	23	49
1	1180	411	17	66
1	1176	480	10	13
1	1198	438	25	7
1	1368	961	42	26
1	789	1540	37	29
1	646	1053	34	31
1	1198	600	35	30
1	1201	1402	58	18
1	1219	1381	17	18
1	1435	1515	32	32
1	640	751	17	59
1	399	999	20	49
1	1119	852	21	45
1	722	376	44	21
1	807	1296	20	45
1	430	1505	20	42
1	837	747	28	30
1	339	554	31	27
1	704	1572	53	15
1	988	1291	36	22
1	277	1156	13	60
1	766	822	45	17
1	1251	1142	26	28
1	1202	1134	46	15
1	911	384	15	47
1	1290	1644	43	16
1	1298	1654	40	14
1	855	1669	48	14
1	550	792	16	41
1	439	1228	23	27
1	392	1091	49	12
1	345	932	26	22
1	447	1425	26	18
1	1523	908	12	38
1	1219	509	15	28
1	1337	1177	9	46
1	1148	375	29	13
1	165	1145	14	26
1	1519	1005	17	21
1	1326	525	21	15
1	1347	511	17	12
1	1284	486	16	17
1	1076	347	11	20
1	1217	557	14	14
1	682	387	17	10
1	1386	531	10	16
1	157	1112	6	23
1	1344	600	18	7
