# File saved at:	Fri Oct 18 15:36:22 CDT 2013
# worms count:	202
# pX	pY	width	height	length(micrometers)	imageClipN
5556	3003	46	17	306.8165264014784	142
2211	3459	40	17	304.4709184452075	172
5699	2736	9	48	302.8100441422488	116
5033	4772	35	28	295.5444549166093	244
3871	4278	18	42	293.1482579478288	225
3930	3840	32	31	277.5633633408583	201
1280	1746	12	43	277.3976476672133	27
5099	1440	21	32	272.6933938972521	16
5685	3152	9	40	264.42013918037486	155
3963	3802	13	38	262.8428666969602	199
1280	4107	11	36	244.9538764501172	214
2331	2771	33	25	235.54536891019475	119
3262	2880	22	29	232.63411512305544	132
3212	2434	12	36	223.86429057199084	91
1920	960	19	16	217.605789650842	7
5104	4712	16	29	215.2832070267983	240
5691	2588	13	36	206.5594331401877	96
4480	3682	8	34	205.47873049096046	191
5646	3816	18	24	200.12126790927832	200
3211	2824	30	16	196.09324828326498	125
4477	3718	3	36	194.6626273025765	194
5709	2664	3	32	194.6626273025765	107
3189	2400	26	18	189.5123927109377	83
5475	1565	21	24	187.1667847546669	20
5488	1983	19	25	184.4397336253439	45
5480	936	18	24	181.75873316047492	5
5610	3672	8	28	173.0349592738644	189
5043	4616	16	24	172.51990245550564	236
3645	2288	21	23	168.7812246736365	72
3536	2340	23	16	167.38815484803814	77
1280	1786	10	27	166.54620503044518	34
2271	3490	21	15	163.53435040503382	174
1026	2725	14	24	162.784501916349	115
3546	2082	23	21	159.7265966264835	53
4196	3651	15	23	155.19201969147548	188
1952	2417	12	24	150.86467074651077	88
4473	4985	7	23	147.07994230018755	250
1053	2530	14	21	144.91853700173306	95
3331	2491	18	22	143.83783435250578	93
2999	2611	15	15	142.35266319799928	100
5464	1540	19	15	141.271960548772	19
4362	696	16	16	141.248935216545	2
3553	2407	20	18	140.16823256731772	87
4864	4792	20	8	139.80981472649256	247
3215	2405	9	21	139.5104854075411	86
2501	3193	15	22	136.8064596104451	159
4175	1849	21	12	135.59759244266303	37
5540	2878	18	12	128.31747739416062	131
2042	3643	13	15	124.39459695447518	185
1898	2121	18	11	124.05920444587704	61
3333	2199	14	16	120.13632400619159	64
3615	2641	17	14	115.29391824286812	106
4467	5008	13	16	114.65919641531852	251
4281	1913	17	7	105.71969502930071	41
4848	4792	15	8	101.8889159185234	246
