# File saved at:	Fri Oct 18 15:36:22 CDT 2013
# worms count:	202
# pX	pY	width	height	length(micrometers)	imageClipN
2948	2388	93	50	716.9786654170088	81
2052	1775	21	98	693.2250780927405	33
2845	4732	82	49	664.4339096421058	241
4671	3888	92	37	658.8286175326776	204
2936	2429	87	49	658.4186999006461	89
4525	4496	22	93	626.1715920120381	233
3488	1299	60	52	624.793048009303	13
2037	1319	49	78	624.0422887419219	14
4413	3951	38	76	622.0144970887743	208
4771	2308	13	92	621.8442430670739	76
1625	1947	64	65	616.7721611682275	43
1690	2949	51	68	613.6130778533424	138
2445	1673	22	88	613.1940835251996	21
5217	3192	38	58	610.9366157365298	161
5207	3435	24	79	610.1592035675613	170
4692	2618	56	44	606.967684632389	102
4863	3643	22	85	606.1672471311948	186
4176	4431	79	31	605.9430201224241	230
2926	3097	78	42	605.5385516171452	146
4416	4628	32	82	602.9481645157398	237
3954	4508	61	43	601.0039746821362	234
4251	1725	44	59	599.7160440428663	25
1840	4079	33	68	598.3544990588588	212
5193	3367	44	58	597.9775942338622	165
4282	1747	65	62	597.7794429399305	30
4899	3699	37	57	597.5085880799578	193
4781	3567	84	32	593.329378603162	180
4004	4663	50	63	591.4658146582155	238
4306	4204	63	40	589.4655866853499	220
4874	3509	73	52	589.4240743689525	175
4024	4466	69	52	588.9275045347647	231
4919	3591	58	72	588.3564095771449	181
4531	4260	62	45	586.6749086860976	223
4325	4127	41	47	586.4722190441108	217
4090	4466	32	66	584.931009750343	232
3159	1131	41	53	584.5771302575731	10
3036	2139	67	46	583.1149844352933	62
4867	4193	28	77	582.5578381137892	219
5286	2284	48	72	582.4057374843111	71
2723	1448	70	46	582.011256453839	17
4091	3135	67	39	578.8797368192369	150
2212	3552	53	53	576.6447171760453	178
5282	2430	38	68	575.149558546732	90
3612	1061	69	38	574.8462680664719	8
3405	2959	57	53	574.8417297184163	140
3736	3482	62	33	573.1308435896946	173
2808	4226	77	37	573.0257044033668	222
4133	3558	22	85	572.6382349168159	179
4768	3862	69	30	572.3909825758172	202
1454	2280	79	28	572.2628180572627	70
2907	3616	45	53	571.7332354160412	182
2313	2231	59	51	571.1030519365471	68
5062	3910	29	79	571.0194501170027	205
3687	3420	55	61	570.7161596367431	169
4035	3697	49	46	569.3185514630887	195
3741	4398	59	54	568.8265199769573	227
3042	2810	64	46	568.4911274683587	124
5311	3264	38	75	567.2392600187355	163
4248	2229	55	50	566.6836016626738	66
3744	1696	34	60	566.5039373529142	23
4434	4173	74	40	565.3411208495853	218
3683	1753	77	26	563.3824051931185	29
5190	3645	56	39	561.5233795962275	187
3795	2054	29	63	560.5072145956264	57
2093	1143	35	63	559.4034866141718	11
2454	2688	81	22	558.8578157329176	108
4552	4117	53	55	557.513846954386	215
3481	1855	77	35	556.9166762819267	38
2271	3088	38	74	556.4461821625787	145
3635	2380	60	44	556.2765053276253	80
3087	4879	74	23	555.766897636018	248
4195	1354	42	47	554.9940238151062	15
2181	2917	65	40	554.8143595053455	136
4295	3152	29	74	554.7998336824827	154
2927	2145	66	55	553.4849165496769	63
3066	2017	64	37	553.1043841553202	47
5130	3390	27	66	552.372111872111	167
2354	3948	68	31	548.8221750961136	209
5369	3120	31	64	548.4077191160276	148
2002	3169	51	54	547.6908834343773	157
5023	2109	32	50	547.4560917640505	58
4262	2847	30	75	546.687756291195	126
3136	2695	27	72	544.5493763249674	110
2459	2301	54	61	544.0618831868919	74
4453	4268	50	51	542.4394708177188	224
4900	4092	66	34	542.1546673216297	213
4010	4213	47	38	542.1216545145954	221
5683	3389	7	83	539.6518432010787	166
3882	3631	38	62	538.1572617585124	184
2835	3698	61	48	537.9830465755028	192
3460	4967	61	53	536.8102425973675	249
2749	2296	21	74	536.4142736014524	73
4861	4043	62	27	532.8928112844336	211
4311	2611	59	33	532.8007099555255	101
2983	2232	20	74	532.0869246564878	69
2708	2779	21	78	531.5443041578458	120
4190	1744	71	40	530.101222506485	28
4977	1913	55	41	528.519411675015	42
3943	3539	52	37	527.0287913937568	177
2292	2748	50	57	521.5746891351109	117
2400	4770	66	39	520.8854171337426	243
3845	2080	59	41	519.8462268009141	52
4551	1861	39	65	519.7901886616526	39
4442	1734	60	44	519.6205118266995	31
5206	4031	30	70	517.4906313698364	210
5120	2032	73	25	517.4875809872233	50
3509	3780	63	41	516.5580681887778	197
3926	2602	58	33	515.2931628817346	99
4109	2869	30	69	514.2670104063258	129
3160	4584	73	24	512.1255800574853	235
4601	2029	38	47	509.08921213440397	49
3203	2701	67	33	509.011636628359	112
4334	3352	59	50	504.770939885551	164
3329	2623	31	64	502.3517175845433	104
2537	3138	23	68	500.79293208530004	151
4012	3116	17	73	493.1498608479166	147
2758	3223	30	57	492.9571586807361	160
4916	4322	35	46	490.3727978928311	226
2642	3138	22	71	489.907752900235	152
4982	4362	40	51	488.13777824963944	228
4334	4752	16	71	483.9570808074013	242
3549	898	27	62	480.78858720445646	4
2062	3788	40	53	480.0257008583516	198
3464	3037	66	23	479.56668217925403	143
2519	2092	61	33	477.8052070380231	59
5475	2586	58	26	477.5104160671277	97
2906	3403	38	61	470.98864901667423	168
3923	2355	71	14	469.6110157926345	79
5594	3065	59	24	464.1284390750101	144
5179	3911	59	32	458.3389443077656	206
3837	2400	18	62	452.6215759198151	85
3295	3139	69	11	451.22545571160396	153
2634	2848	20	65	450.9752274397193	127
5677	2512	17	64	443.9438526976589	94
3982	1808	56	22	430.0843700422723	36
4888	4707	38	53	427.8439012723294	239
3230	2784	53	29	401.8067704445514	122
5382	1716	55	20	394.5090791905737	24
2899	2874	46	24	390.8525152628055	130
2667	3188	18	54	364.9980991274008	158
2670	2389	50	22	361.97320664456953	82
4784	1077	43	32	341.5544057836394	9
2604	2622	29	37	320.3036425799238	103
2658	3261	44	15	318.66728157463535	162
5709	2984	6	48	315.7875526290873	141
2642	3513	49	12	314.4780846230329	176
5637	3624	24	40	309.34938739817784	183
