# File saved at:	Fri Oct 18 16:20:19 CDT 2013
# Egg count:	301
# Automated counting:	Done
# Manual inspection:	Done
# pX	pY	width	height	nEgg	probability	method
930	1886	15	11	2	137	Automated counting
621	1837	9	18	2	122	Automated counting
1575	1560	16	10	2	106	Automated counting
662	1115	12	13	2	107	Automated counting
991	2028	13	12	2	121	Automated counting
1106	1483	11	14	2	124	Automated counting
1170	2242	17	9	2	127	Automated counting
809	1946	9	17	2	113	Automated counting
998	1728	9	17	2	124	Automated counting
1066	2165	10	15	2	106	Automated counting
1462	1753	16	9	2	107	Automated counting
911	1990	9	16	2	105	Automated counting
1281	1781	11	13	2	99	Automated counting
1360	1325	14	10	2	94	Automated counting
1479	1738	14	10	2	111	Automated counting
995	1966	15	9	2	108	Automated counting
1071	1513	12	11	2	106	Automated counting
1346	1843	12	11	2	113	Automated counting
1160	2285	10	12	2	97	Automated counting
1093	1522	11	10	2	97	Automated counting
1518	1703	11	10	2	87	Automated counting
1520	1724	11	10	2	87	Automated counting
1098	1057	11	13	1	89	Automated counting
1295	1359	10	11	1	77	Automated counting
1299	1339	11	10	1	82	Automated counting
1194	1327	12	9	1	87	Automated counting
1281	1691	10	10	1	82	Automated counting
1050	1401	9	11	1	75	Automated counting
1310	1371	9	11	1	79	Automated counting
919	1837	11	9	1	69	Automated counting
972	1989	9	11	1	76	Automated counting
943	1507	12	8	1	61	Automated counting
1149	1351	10	9	1	64	Automated counting
1217	1346	9	10	1	72	Automated counting
1310	1402	10	9	1	64	Automated counting
1321	1275	10	9	1	73	Automated counting
802	2123	9	10	1	72	Automated counting
915	1754	10	9	1	69	Automated counting
851	1901	11	8	1	65	Automated counting
1000	1992	9	9	1	60	Automated counting
1590	1513	9	9	1	64	Automated counting
860	1921	9	9	1	65	Automated counting
899	1834	9	9	1	65	Automated counting
973	1570	9	9	1	61	Automated counting
982	1450	9	9	1	63	Automated counting
1015	1575	10	8	1	64	Automated counting
1097	1624	8	10	1	60	Automated counting
1108	1456	8	10	1	65	Automated counting
1142	1380	8	10	1	58	Automated counting
1147	1325	8	10	1	68	Automated counting
1155	1460	8	10	1	65	Automated counting
1161	1341	8	10	1	66	Automated counting
1163	1496	8	10	1	67	Automated counting
1166	1522	8	10	1	64	Automated counting
1282	1389	10	8	1	55	Automated counting
1348	1881	10	8	1	62	Automated counting
1400	1824	10	8	1	66	Automated counting
1595	1901	10	8	1	59	Automated counting
681	2130	10	8	1	52	Automated counting
820	2108	8	10	1	65	Automated counting
915	1677	8	10	1	63	Automated counting
985	1973	10	8	1	68	Automated counting
997	1757	8	10	1	61	Automated counting
972	1798	7	11	1	63	Automated counting
1045	1524	9	8	1	56	Automated counting
1130	2091	8	9	1	61	Automated counting
1134	1571	8	9	1	61	Automated counting
1188	2124	9	8	1	59	Automated counting
1326	1335	8	9	1	58	Automated counting
1354	1283	8	9	1	59	Automated counting
1357	1312	8	9	1	46	Automated counting
1383	2181	9	8	1	57	Automated counting
1387	1821	9	8	1	60	Automated counting
1416	1899	9	8	1	56	Automated counting
1552	1664	8	9	1	53	Automated counting
1567	1722	9	8	1	58	Automated counting
802	1498	9	8	1	52	Automated counting
817	1930	9	8	1	59	Automated counting
868	1960	8	9	1	55	Automated counting
947	1580	8	9	1	61	Automated counting
980	2165	8	9	1	60	Automated counting
984	1623	9	8	1	59	Automated counting
986	1795	8	9	1	56	Automated counting
1007	1660	10	7	1	62	Automated counting
1030	2020	7	10	1	60	Automated counting
1090	1959	10	7	1	57	Automated counting
1168	2081	10	7	1	63	Automated counting
1179	1709	7	10	1	55	Automated counting
1224	2136	7	10	1	56	Automated counting
1339	1959	10	7	1	61	Automated counting
1556	1691	7	10	1	59	Automated counting
1623	1744	7	10	1	61	Automated counting
1624	1881	7	10	1	58	Automated counting
1679	1799	10	7	1	62	Automated counting
1714	1733	7	10	1	61	Automated counting
853	1677	7	10	1	57	Automated counting
879	1958	10	7	1	56	Automated counting
925	2033	10	7	1	59	Automated counting
940	2036	10	7	1	61	Automated counting
947	1662	10	7	1	62	Automated counting
1040	1555	8	8	1	47	Automated counting
1307	1701	8	8	1	47	Automated counting
1390	1945	8	8	1	53	Automated counting
1470	1624	8	8	1	54	Automated counting
1035	1567	9	7	1	52	Automated counting
1079	2010	9	7	1	54	Automated counting
1106	1544	7	9	1	54	Automated counting
1132	1810	7	9	1	58	Automated counting
1143	1871	9	7	1	53	Automated counting
1186	1535	9	7	1	54	Automated counting
1195	1707	9	7	1	53	Automated counting
1227	1726	9	7	1	59	Automated counting
1235	1749	7	9	1	53	Automated counting
1313	1744	7	9	1	52	Automated counting
1322	1416	7	9	1	52	Automated counting
1350	1533	7	9	1	59	Automated counting
1381	1871	9	7	1	56	Automated counting
1530	1746	7	9	1	53	Automated counting
1547	1769	9	7	1	54	Automated counting
1576	1966	7	9	1	61	Automated counting
875	1557	9	7	1	58	Automated counting
1109	2025	7	8	1	48	Automated counting
1146	2056	7	8	1	50	Automated counting
1168	1912	8	7	1	47	Automated counting
1281	1715	7	8	1	47	Automated counting
1354	1297	7	8	1	43	Automated counting
1360	1964	7	8	1	49	Automated counting
1401	1549	7	8	1	52	Automated counting
1443	2014	7	8	1	48	Automated counting
2052	1882	7	8	1	47	Automated counting
959	2085	7	8	1	43	Automated counting
1142	2146	6	9	1	53	Automated counting
1378	1913	9	6	1	41	Automated counting
1510	1724	7	7	1	43	Automated counting
1243	1554	6	8	1	44	Automated counting
1462	2030	6	8	1	38	Automated counting
1674	2234	6	8	1	39	Automated counting
784	1441	8	6	1	34	Automated counting
