# File saved at:	Fri Oct 18 16:20:19 CDT 2013
# Egg count:	301
# Automated counting:	Done
# Manual inspection:	Done
# pX	pY	width	height	nEgg	probability	method
1226	2043	27	27	6	362	Automated counting
1296	1665	25	21	5	266	Automated counting
1311	1716	19	23	5	253	Automated counting
735	1105	28	36	4	242	Automated counting
861	2152	16	30	4	247	Automated counting
903	2180	25	18	4	246	Automated counting
1281	1584	9	39	4	207	Automated counting
913	1531	20	17	4	248	Automated counting
1809	1557	23	20	3	186	Automated counting
2003	1170	16	27	3	156	Automated counting
1859	1852	14	30	3	175	Automated counting
1200	1882	24	13	3	212	Automated counting
1726	1294	22	14	3	171	Automated counting
1096	1504	20	15	3	202	Automated counting
1096	1726	23	13	3	182	Automated counting
1130	1441	18	16	3	179	Automated counting
1140	1943	15	19	3	194	Automated counting
1255	1677	19	15	3	197	Automated counting
1323	1308	15	19	3	180	Automated counting
1616	1763	17	16	3	165	Automated counting
1551	1817	14	19	3	189	Automated counting
1340	2450	15	17	3	166	Automated counting
1025	1441	23	11	3	171	Automated counting
707	1136	9	28	3	162	Automated counting
923	1925	12	19	3	155	Automated counting
882	1522	14	15	3	156	Automated counting
1160	1963	13	16	3	157	Automated counting
885	1763	16	13	3	167	Automated counting
1516	1775	8	24	3	162	Automated counting
1103	1692	14	18	2	124	Automated counting
1281	2462	12	21	2	120	Automated counting
1025	1460	18	12	2	142	Automated counting
873	1677	12	18	2	134	Automated counting
1080	2163	14	15	2	118	Automated counting
1180	1892	14	15	2	119	Automated counting
1500	1767	15	14	2	137	Automated counting
1281	1297	11	18	2	145	Automated counting
1490	1695	14	14	2	132	Automated counting
1342	1711	15	13	2	115	Automated counting
1416	1785	13	15	2	115	Automated counting
1075	2217	16	12	2	116	Automated counting
1169	1304	14	13	2	132	Automated counting
1230	1311	14	13	2	106	Automated counting
1009	2246	15	12	2	111	Automated counting
1528	1657	18	10	2	101	Automated counting
1309	2470	16	11	2	85	Automated counting
1921	3350	19	9	2	89	Automated counting
1529	1730	12	14	2	101	Automated counting
1653	1871	12	14	2	110	Automated counting
1300	1829	15	11	2	113	Automated counting
