# Particle Count:	72
# Single Worm Area:	165
# Component Count:	2
# pX	pY	width	height	nWorm	area	label No
1067	138	28	14	1	107	1
1069	178	36	26	1	228	1
794	210	23	15	1	178	1
970	218	31	29	1	168	1
1318	219	39	17	1	165	1
1083	246	43	29	1	218	1
1259	280	23	39	1	212	1
1509	282	36	18	1	130	1
1780	284	13	20	1	99	1
1487	331	13	46	1	168	1
925	344	30	30	1	155	1
643	362	20	50	2	297	1
1013	374	11	27	1	74	1
1347	374	32	21	1	132	1
1211	401	9	47	1	197	1
1282	408	22	17	1	138	1
1718	408	36	29	1	183	1
705	422	35	22	2	253	1
1071	463	43	12	1	156	1
1289	475	60	17	2	382	1
734	518	47	18	1	227	1
1218	525	11	48	1	203	1
368	564	22	34	1	116	1
979	582	30	44	1	226	1
1050	589	37	31	1	218	1
1287	594	37	14	1	158	1
872	606	44	17	1	213	1
1129	612	30	18	1	163	1
1051	641	28	30	1	163	1
1098	650	23	31	1	201	1
1145	655	18	26	1	98	1
1176	661	20	33	1	162	1
1215	702	14	41	1	156	1
885	707	41	19	1	156	1
291	711	17	39	1	206	1
642	715	23	23	1	154	1
1226	745	17	44	1	236	1
1251	759	23	42	2	254	1
875	834	44	14	1	167	1
483	844	16	28	1	99	1
741	852	31	23	1	164	1
532	874	29	18	1	131	1
1363	886	30	22	1	209	1
1085	940	26	14	1	92	1
1201	966	27	17	1	118	1
991	970	15	37	1	150	1
1770	970	14	50	1	209	1
1970	973	18	40	1	203	1
1194	988	15	51	2	302	1
725	1000	40	27	1	198	1
1369	1005	29	13	1	100	1
1010	1020	18	26	1	92	1
845	1028	19	32	1	110	1
1038	1039	26	22	1	142	1
1476	1046	24	33	1	122	1
1502	1377	13	36	1	201	2
1916	1400	24	23	1	133	2
1442	1427	47	8	1	171	2
1140	1462	44	11	1	209	2
412	1521	48	9	1	178	2
1500	1526	22	22	1	138	2
1359	1669	34	25	1	164	2
1128	1761	44	25	1	178	2
2007	1884	27	28	1	182	2
1721	1898	11	19	1	98	2
1711	1918	22	23	1	124	2
1603	1972	34	25	1	168	2
1885	2005	39	9	1	181	2
974	2036	23	43	1	209	2
1293	2127	13	11	1	83	2
1602	2192	39	19	2	260	2
