# File saved at:	Fri Oct 18 15:32:11 CDT 2013
# worms count:	53
# pX	pY	width	height	length(micrometers)	imageClipN
2853	4520	105	157	1288.311959560877	39
3926	1976	37	186	1281.980633896328	13
3224	3031	166	74	1281.7650564317075	23
3265	1553	167	57	1252.2640309334292	6
4518	4676	147	98	1238.664018285208	41
4020	4025	167	47	1207.970714652305	30
1949	1874	107	105	1206.8613739888801	9
1941	3669	139	78	1204.2122355536305	27
1812	4381	86	138	1202.790313533611	36
3515	4549	33	173	1199.5942351038902	40
3048	1772	64	160	1199.054327625822	8
1932	3964	113	87	1197.8731795518402	29
5091	4326	23	179	1197.017522675409	35
3290	5026	167	46	1195.943891345805	52
2111	2170	59	140	1194.0339269009164	16
3918	5110	132	106	1192.2145524278114	55
3609	1891	122	122	1190.528666838	10
4517	4435	146	86	1188.7337177931	38
1677	3643	148	78	1184.1696684788506	26
2278	4138	163	27	1184.0006241067135	32
3536	1154	137	60	1182.3927295539909	2
1893	4886	119	81	1180.8711735838376	49
2646	2508	87	138	1172.2191356537548	17
2413	2171	98	114	1153.7733330710578	15
1745	2695	29	166	1152.7616941204478	18
1455	4765	123	65	1152.6768230239597	43
1845	4084	115	83	1145.317315774844	31
1492	1923	88	86	1143.2935731223888	11
1650	4730	118	72	1135.2589689562271	44
2347	4792	114	88	1125.7122397128398	45
2035	4771	88	89	1119.1919259308236	48
1331	2960	76	80	1119.1291624986145	21
2655	3189	156	28	1110.5405065969508	24
2854	5360	138	74	1108.7457892336838	59
2721	3537	35	158	1108.7218285567144	25
2470	4827	74	99	1103.2947775554012	47
1970	3692	89	118	1080.5394583353195	28
2220	1962	40	140	1076.409267240844	12
3062	5016	62	141	1072.7360447652652	51
1869	4742	77	77	1065.5564802672948	42
4735	1686	123	72	1064.7003586396288	7
3266	5335	70	102	1056.4078206852316	56
2837	5074	103	114	1049.2501307819362	53
2318	4228	117	94	1033.3266247409913	34
2668	5012	38	135	991.7540226240427	50
3923	4178	120	61	940.4021856385205	33
1916	2999	51	121	938.1504996563552	22
3911	5574	79	68	928.0938533934251	60
3185	5287	59	84	882.6920467267194	57
1280	4408	45	58	737.3460830083866	37
1094	1379	56	53	451.2621079202964	4
5319	2787	43	59	433.8658967656066	19
1046	1439	46	39	388.9999000327301	5
