# Last update	2015-03-20 Fri 01:14:33
# Herm count	56
# Male count	7
# Status	Not Inspected
# pX	pY	width	height	nHerm	nMale	length (um)	fatness	e1	e2	maskImageIDNumb	unknown
2538	2518	96	136	1	0	1078.1616	13.762238	0.493865	0.505076	33	false
2115	2552	98	153	1	0	1197.3667	13.724551	0.546781	0.602080	34	false
3192	2574	174	55	1	0	1178.7592	13.930636	0.507371	0.707107	35	false
1903	2606	152	115	1	0	1300.3730	14.256831	0.321081	0.523053	36	false
2593	2620	160	111	1	0	1254.0302	14.808383	0.589256	0.602355	37	false
2914	2656	101	157	1	0	1209.2655	14.592814	0.488397	0.561591	38	false
3484	2668	25	192	1	0	1199.6354	12.759162	0.410264	0.545455	39	false
2737	2834	53	107	0	1	834.7857	10.078947	0.600000	1.118034	41	false
3187	2849	185	148	0	0	0.0000	0.000000	0.000000	0.000000	42	true
2731	2898	91	150	0	0	0.0000	0.000000	0.000000	0.000000	43	true
3779	2938	57	160	1	0	1111.5497	13.389937	0.605783	0.674949	44	false
1789	2957	104	142	1	0	1127.5275	13.470199	0.500000	0.566352	45	false
3427	2946	125	138	1	0	1186.3745	14.509677	0.419137	0.506594	46	false
2142	3002	52	204	1	0	1343.7550	14.546341	0.545455	0.546781	47	false
3082	3007	123	70	1	0	1002.6321	12.442857	0.353553	0.546781	48	false
2599	2944	166	305	0	0	0.0000	0.000000	0.000000	0.000000	49	true
4552	3052	79	120	1	0	1102.9819	20.375796	0.380521	0.495261	50	false
1993	3094	105	91	0	1	916.9498	9.338583	0.614636	0.961769	51	false
3882	3103	124	89	1	0	1012.2500	11.685714	0.482573	0.500000	52	false
3999	3116	185	32	1	0	1205.8603	13.054348	0.517727	0.640184	53	false
3790	3133	143	87	1	0	1134.2896	12.742331	0.515805	0.570088	54	false
3727	3225	158	55	1	0	1193.2419	14.023256	0.418638	0.641179	55	false
3092	3225	188	34	1	0	1247.4827	13.622340	0.591969	0.608276	56	false
3420	3269	111	185	0	0	0.0000	0.000000	0.000000	0.000000	57	true
5006	3330	79	197	1	0	1366.9482	20.014778	0.403113	0.582623	58	false
2982	3332	78	129	1	0	1057.3764	12.306250	0.618347	0.675863	59	false
3936	3348	283	115	0	0	0.0000	0.000000	0.000000	0.000000	60	true
4532	3390	163	54	1	0	1105.6089	12.182927	0.552158	0.626013	61	false
1755	3394	81	154	1	0	1115.8267	12.490323	0.382188	0.419137	62	false
2582	3464	128	105	0	0	0.0000	0.000000	0.000000	0.000000	63	true
3105	3468	171	72	0	1	1133.2922	15.302469	0.428353	1.625000	64	false
2761	3496	138	114	1	0	1203.8926	14.337278	0.157329	0.641179	65	false
4600	3500	104	156	1	0	1200.1978	14.537500	0.434613	0.500000	66	false
2298	3629	129	113	1	0	1153.8324	13.858025	0.497519	0.651920	68	false
4023	3647	164	44	1	0	1147.0873	13.365269	0.600000	0.602355	69	false
