# File saved at:	Fri Oct 18 15:34:51 CDT 2013
# worms count:	35
# pX	pY	width	height	length(micrometers)	imageClipN
4962	3110	109	25	695.7049499733279	13
4494	4388	100	32	690.6801374399892	33
2620	3118	32	105	673.8092468399933	14
2721	2901	98	32	668.6038999466567	10
2591	2958	20	106	662.1248312266621	12
3570	2752	42	94	656.560256186655	6
2824	3418	53	87	648.282909293318	18
2513	3318	72	77	646.3675623999817	16
4496	4226	56	84	632.8309686666512	30
4437	4852	60	80	610.2431467866502	37
3519	2876	31	91	608.719840573324	9
3224	3871	28	91	608.1215437066586	26
3379	4410	25	94	599.9330687199944	35
4483	2932	62	77	592.6674436533157	11
4621	3884	90	33	590.4894843333257	27
3082	1643	42	78	580.394018693323	1
3471	5026	81	33	571.3718999466571	38
4024	3433	45	80	568.2940186933231	19
3626	4192	80	38	559.2718999466571	29
3079	2570	80	37	556.7898405733241	4
2749	4749	82	31	556.5275437066589	36
3678	3813	22	86	549.1950093466618	25
2765	4309	82	32	547.9714843333259	32
3530	3504	33	78	537.4217218266581	22
4240	5077	45	73	532.1380186933231	39
3446	5381	33	76	525.3217218266582	41
3200	3483	44	71	522.1137811999912	20
2562	3640	24	75	493.99512809332793	24
4725	3521	23	75	487.969128093328	21
4803	3594	14	79	485.20835623999864	23
2880	1963	20	72	471.455306213327	2
3270	2588	63	36	431.4076030799921	5
3071	2450	49	48	430.783603079992	3
2524	3967	41	46	415.55524683999386	28
3955	2826	48	50	400.1643155599881	8
